id,question,sparql,answer,answer,frame
0,Qual era la nazionalità di Baltacı Mehmed Pascià?,select  ?o    {    <http://dbpedia.org/resource/Baltacı_Mehmet_Pasha> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Turkish_people,Turchi (gruppo etnico),NPP
1,Qual è la nazionalità di Baltacı Mehmed Pascià?,select  ?o    {    <http://dbpedia.org/resource/Baltacı_Mehmet_Pasha> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Turkish_people,Turchi (gruppo etnico),NPP
2,Qual era la nazionalità di Baltasar Garzón?,select  ?o    {    <http://dbpedia.org/resource/Baltasar_Garzón> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Spaniards,Spagnoli,NPP
3,Qual è la nazionalità di Baltasar Garzón?,select  ?o    {    <http://dbpedia.org/resource/Baltasar_Garzón> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Spaniards,Spagnoli,NPP
4,Qual era la nazionalità di Balthasar van der Pol?,select  ?o    {    <http://dbpedia.org/resource/Balthasar_van_der_Pol> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Netherlands,Regno dei Paesi Bassi,NPP
5,Qual è la nazionalità di Balthasar van der Pol?,select  ?o    {    <http://dbpedia.org/resource/Balthasar_van_der_Pol> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Netherlands,Regno dei Paesi Bassi,NPP
6,Qual era la nazionalità di Balufu Bakupa-Kanyinda?,select  ?o    {    <http://dbpedia.org/resource/Balufu_Bakupa-Kanyinda> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Democratic_Republic_of_the_Congo,Repubblica Democratica del Congo,NPP
7,Qual è la nazionalità di Balufu Bakupa-Kanyinda?,select  ?o    {    <http://dbpedia.org/resource/Balufu_Bakupa-Kanyinda> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Democratic_Republic_of_the_Congo,Repubblica Democratica del Congo,NPP
8,Qual era la nazionalità di Balázs Kiss martellista?,select  ?o    {    <http://dbpedia.org/resource/Balázs_Kiss> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Hungary,Ungheria,NPP
9,Qual è la nazionalità di Balázs Kiss martellista?,select  ?o    {    <http://dbpedia.org/resource/Balázs_Kiss> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Hungary,Ungheria,NPP
10,Qual era la nazionalità di Balázs Kiss lottatore?,select  ?o    {    <http://dbpedia.org/resource/Balázs_Kiss_(wrestler)> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Hungary,Ungheria,NPP
11,Qual è la nazionalità di Balázs Kiss lottatore?,select  ?o    {    <http://dbpedia.org/resource/Balázs_Kiss_(wrestler)> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Hungary,Ungheria,NPP
12,Qual era la nazionalità di Balázs Németh?,select  ?o    {    <http://dbpedia.org/resource/Balázs_Németh> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Hungary,Ungheria,NPP
13,Qual è la nazionalità di Balázs Németh?,select  ?o    {    <http://dbpedia.org/resource/Balázs_Németh> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Hungary,Ungheria,NPP
14,Qual era la nazionalità di Banana Yoshimoto?,select  ?o    {    <http://dbpedia.org/resource/Banana_Yoshimoto> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Japanese_people,Giapponesi,NPP
15,Qual è la nazionalità di Banana Yoshimoto?,select  ?o    {    <http://dbpedia.org/resource/Banana_Yoshimoto> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Japanese_people,Giapponesi,NPP
16,Qual era la nazionalità di Banharn Silpa-archa?,select  ?o    {    <http://dbpedia.org/resource/Banharn_Silpa-archa> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Thailand,Thailandia,NPP
17,Qual è la nazionalità di Banharn Silpa-archa?,select  ?o    {    <http://dbpedia.org/resource/Banharn_Silpa-archa> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Thailand,Thailandia,NPP
18,Qual era la nazionalità di Banine?,select  ?o    {    <http://dbpedia.org/resource/Banine> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Azerbaijanis,Azeri,NPP
19,Qual è la nazionalità di Banine?,select  ?o    {    <http://dbpedia.org/resource/Banine> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Azerbaijanis,Azeri,NPP
20,Qual era la nazionalità di Banuve Tabakaucoro?,select  ?o    {    <http://dbpedia.org/resource/Banuve_Tabakaucoro> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Fiji,Figi,NPP
21,Qual è la nazionalità di Banuve Tabakaucoro?,select  ?o    {    <http://dbpedia.org/resource/Banuve_Tabakaucoro> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Fiji,Figi,NPP
22,Qual era la nazionalità di Baptiste Geiler?,select  ?o    {    <http://dbpedia.org/resource/Baptiste_Geiler> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/France,Franca (San Paolo),NPP
23,Qual è la nazionalità di Baptiste Geiler?,select  ?o    {    <http://dbpedia.org/resource/Baptiste_Geiler> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/France,Franca (San Paolo),NPP
24,Qual era la nazionalità di Baran Kosari?,select  ?o    {    <http://dbpedia.org/resource/Baran_Kosari> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Iranian_peoples,Iranici,NPP
25,Qual è la nazionalità di Baran Kosari?,select  ?o    {    <http://dbpedia.org/resource/Baran_Kosari> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Iranian_peoples,Iranici,NPP
26,Qual era la nazionalità di Barbara Adams?,select  ?o    {    <http://dbpedia.org/resource/Barbara_Adams_(Egyptologist)> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/England,Inghilterra,NPP
27,Qual è la nazionalità di Barbara Adams?,select  ?o    {    <http://dbpedia.org/resource/Barbara_Adams_(Egyptologist)> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/England,Inghilterra,NPP
28,Qual era la nazionalità di Barbara De Luca?,select  ?o    {    <http://dbpedia.org/resource/Barbara_De_Luca> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Italy,Italia,NPP
29,Qual è la nazionalità di Barbara De Luca?,select  ?o    {    <http://dbpedia.org/resource/Barbara_De_Luca> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Italy,Italia,NPP
30,Qual era la nazionalità di Barbara Dex?,select  ?o    {    <http://dbpedia.org/resource/Barbara_Dex> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Belgium,Belgio,NPP
31,Qual è la nazionalità di Barbara Dex?,select  ?o    {    <http://dbpedia.org/resource/Barbara_Dex> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Belgium,Belgio,NPP
32,Qual era la nazionalità di Barbara Engleder?,select  ?o    {    <http://dbpedia.org/resource/Barbara_Engleder> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Germany,Germania,NPP
33,Qual è la nazionalità di Barbara Engleder?,select  ?o    {    <http://dbpedia.org/resource/Barbara_Engleder> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Germany,Germania,NPP
34,Qual era la nazionalità di Barbara Frale?,select  ?o    {    <http://dbpedia.org/resource/Barbara_Frale> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Italy,Italia,NPP
35,Qual è la nazionalità di Barbara Frale?,select  ?o    {    <http://dbpedia.org/resource/Barbara_Frale> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Italy,Italia,NPP
36,Qual era la nazionalità di Barbara Giuranna?,select  ?o    {    <http://dbpedia.org/resource/Barbara_Giuranna> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Italy,Italia,NPP
37,Qual è la nazionalità di Barbara Giuranna?,select  ?o    {    <http://dbpedia.org/resource/Barbara_Giuranna> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Italy,Italia,NPP
38,Qual era la nazionalità di Barbara Krafft?,select  ?o    {    <http://dbpedia.org/resource/Barbara_Krafft> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Austria,Austria,NPP
39,Qual è la nazionalità di Barbara Krafft?,select  ?o    {    <http://dbpedia.org/resource/Barbara_Krafft> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Austria,Austria,NPP
40,Qual era la nazionalità di Barbara Lah?,select  ?o    {    <http://dbpedia.org/resource/Barbara_Lah> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Italy,Italia,NPP
41,Qual è la nazionalità di Barbara Lah?,select  ?o    {    <http://dbpedia.org/resource/Barbara_Lah> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Italy,Italia,NPP
42,Qual era la nazionalità di Barbara Longhi?,select  ?o    {    <http://dbpedia.org/resource/Barbara_Longhi> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Italians,Italiani,NPP
43,Qual è la nazionalità di Barbara Longhi?,select  ?o    {    <http://dbpedia.org/resource/Barbara_Longhi> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Italians,Italiani,NPP
44,Qual era la nazionalità di Barbara Nedeljáková?,select  ?o    {    <http://dbpedia.org/resource/Barbara_Nedeljáková> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Slovaks,Slovacchi,NPP
45,Qual è la nazionalità di Barbara Nedeljáková?,select  ?o    {    <http://dbpedia.org/resource/Barbara_Nedeljáková> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Slovaks,Slovacchi,NPP
46,Qual era la nazionalità di Barbara Neely?,select  ?o    {    <http://dbpedia.org/resource/Barbara_Neely> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Americans,Statunitensi,NPP
47,Qual è la nazionalità di Barbara Neely?,select  ?o    {    <http://dbpedia.org/resource/Barbara_Neely> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Americans,Statunitensi,NPP
48,Qual era la nazionalità di Barbara Pollastrini?,select  ?o    {    <http://dbpedia.org/resource/Barbara_Pollastrini> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Italy,Italia,NPP
49,Qual è la nazionalità di Barbara Pollastrini?,select  ?o    {    <http://dbpedia.org/resource/Barbara_Pollastrini> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Italy,Italia,NPP
50,Qual era la nazionalità di Barbara Risman?,select  ?o    {    <http://dbpedia.org/resource/Barbara_Risman> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/United_States,Stati Uniti d'America,NPP
51,Qual è la nazionalità di Barbara Risman?,select  ?o    {    <http://dbpedia.org/resource/Barbara_Risman> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/United_States,Stati Uniti d'America,NPP
52,Qual era la nazionalità di Barbara Rosenkranz?,select  ?o    {    <http://dbpedia.org/resource/Barbara_Rosenkranz> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Austria,Austria,NPP
53,Qual è la nazionalità di Barbara Rosenkranz?,select  ?o    {    <http://dbpedia.org/resource/Barbara_Rosenkranz> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Austria,Austria,NPP
54,Qual era la nazionalità di Barbara Spinelli?,select  ?o    {    <http://dbpedia.org/resource/Barbara_Spinelli> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Italians,Italiani,NPP
55,Qual è la nazionalità di Barbara Spinelli?,select  ?o    {    <http://dbpedia.org/resource/Barbara_Spinelli> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Italians,Italiani,NPP
56,Qual era la nazionalità di Barbara D'Urso?,select  ?o    {    <http://dbpedia.org/resource/Barbara_d'Urso> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Italians,Italiani,NPP
57,Qual è la nazionalità di Barbara D'Urso?,select  ?o    {    <http://dbpedia.org/resource/Barbara_d'Urso> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Italians,Italiani,NPP
58,Qual era la nazionalità di Barbet Schroeder?,select  ?o    {    <http://dbpedia.org/resource/Barbet_Schroeder> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Swiss_people,Svizzeri,NPP
59,Qual è la nazionalità di Barbet Schroeder?,select  ?o    {    <http://dbpedia.org/resource/Barbet_Schroeder> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Swiss_people,Svizzeri,NPP
60,Qual era la nazionalità di Barbro Kollberg?,select  ?o    {    <http://dbpedia.org/resource/Barbro_Kollberg> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Sweden,Riksdag,NPP
61,Qual è la nazionalità di Barbro Kollberg?,select  ?o    {    <http://dbpedia.org/resource/Barbro_Kollberg> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Sweden,Riksdag,NPP
62,Qual era la nazionalità di Barham Salih?,select  ?o    {    <http://dbpedia.org/resource/Barham_Salih> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Iraq,Iraq,NPP
63,Qual è la nazionalità di Barham Salih?,select  ?o    {    <http://dbpedia.org/resource/Barham_Salih> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Iraq,Iraq,NPP
64,Qual era la nazionalità di Barnaba Oriani?,select  ?o    {    <http://dbpedia.org/resource/Barnaba_Oriani> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Italy,Italia,NPP
65,Qual è la nazionalità di Barnaba Oriani?,select  ?o    {    <http://dbpedia.org/resource/Barnaba_Oriani> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Italy,Italia,NPP
66,Qual era la nazionalità di Barney Ross?,select  ?o    {    <http://dbpedia.org/resource/Barney_Ross> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Americans,Statunitensi,NPP
67,Qual è la nazionalità di Barney Ross?,select  ?o    {    <http://dbpedia.org/resource/Barney_Ross> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/Americans,Statunitensi,NPP
68,Qual era la nazionalità di Barnum Brown?,select  ?o    {    <http://dbpedia.org/resource/Barnum_Brown> <http://dbpedia.org/ontology/nationality>  ?o    },http://dbpedia.org/resource/United_States,Stati Uniti d'America,NPP
