"QALD id"	"match status"	"QALD question"	"QueGG question"	"QALD SPARQL query"	"QueGG SPARQL query"	"QueGG lexical entry"	"TP"	"FP"	"FN"	"Precision"	"Recall"	"F-Measure"
"0"	"false"	"Quando ha avuto luogo la battaglia di Gettysburg?"		"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?date 
WHERE { 
       res:Battle_of_Gettysburg dbo:date ?date .
}"	""	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"
"1"	"false"	"Elenca tutti i musicals con musiche di Elton John."		"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 
SELECT DISTINCT ?uri
WHERE { 
        ?uri rdf:type dbo:Musical .
        ?uri dbo:musicBy res:Elton_John .
}"	""	"0.0"	"0.0"	"4.0"	"0.0"	"0.0"	"0.0"
"2"	"false"	"Quanto è alto il faro di Colombo?"		"SELECT DISTINCT ?num WHERE {  <http://dbpedia.org/resource/Colombo_Lighthouse> <http://dbpedia.org/ontology/height> ?num . } "	""	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"3"	"false"	"Chi era la moglie del Abraham Lincoln?"		"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
	res:Abraham_Lincoln dbo:spouse ?uri.
}"	""	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"4"	"false"	"Chi è il presentatore degli speciali della BBC Wildlife?"		"SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/BBC_Wildlife_Specials> <http://dbpedia.org/ontology/presenter> ?uri . }"	""	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"5"	"false"	"Quanto è costato Pulp Fiction?"		"SELECT DISTINCT ?n WHERE {  <http://dbpedia.org/resource/Pulp_Fiction> <http://dbpedia.org/ontology/budget> ?n . } "	""	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"6"	"false"	"In quale città si trova il birrificio della Heiniken?"		"SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Heineken> <http://dbpedia.org/ontology/manufacturer> ?x . ?x <http://dbpedia.org/ontology/locationCity> ?uri . }"	""	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"
"7"	"false"	"Quando è iniziata l'operatione Overlord?"		"SELECT DISTINCT ?d WHERE { <http://dbpedia.org/resource/Operation_Overlord> <http://dbpedia.org/ontology/date> ?d . } "	""	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"8"	"false"	"In quale città termina la Route 68 in Cile?"		"SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/Chile_Route_68> <http://dbpedia.org/ontology/routeEnd> ?uri . } "	""	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"9"	"false"	"Chi ha sviluppato Slack?"		"SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/product> <http://dbpedia.org/resource/Slack_(software)> . }"	""	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"10"	"false"	"Chi è stato sposato con il presidente Chirac?"		"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
SELECT DISTINCT ?uri
WHERE { 
         res:Jacques_Chirac dbo:spouse ?uri .
}"	""	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"11"	"false"	"Di cosa è morto Bruce Carver?"		"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/>
SELECT DISTINCT ?uri
WHERE {
        res:Bruce_Carver dbo:deathCause ?uri .     
}"	""	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"
"12"	"false"	"Chi dipinse il Cristo nella tempesta sul mare di Galilea?"		"PREFIX dbp: <http://dbpedia.org/property/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
	res:The_Storm_on_the_Sea_of_Galilee dbp:artist ?uri .
}"	""	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
