"QALD id"	"QALD original question"	"QALD original SPARQL query"	"QueGG original question"	"QueGG SPARQL query"	"TP"	"FP"	"FN"	"Precision"	"Recall"	"F-Measure"
"0"	"Quando ha avuto luogo la battaglia di Gettysburg?"	"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?date 
WHERE { 
       res:Battle_of_Gettysburg dbo:date ?date .
}"	"Quando ha avuto luogo la battaglia di Gettysburg?"	""	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"
"1"	"Elenca tutti i musicals con musiche di Elton John."	"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 
SELECT DISTINCT ?uri
WHERE { 
        ?uri rdf:type dbo:Musical .
        ?uri dbo:musicBy res:Elton_John .
}"	"Elenca tutti i musicals con musiche di Elton John."	""	"0.0"	"0.0"	"4.0"	"0.0"	"0.0"	"0.0"
"2"	"Quanto è alto il faro di Colombo?"	"SELECT DISTINCT ?num WHERE {  <http://dbpedia.org/resource/Colombo_Lighthouse> <http://dbpedia.org/ontology/height> ?num . } "	"Quanto è alto il faro di Colombo?"	""	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"3"	"Chi era la moglie del Abraham Lincoln?"	"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
	res:Abraham_Lincoln dbo:spouse ?uri.
}"	"Chi era la moglie del Abraham Lincoln?"	""	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"4"	"Chi è il presentatore degli speciali della BBC Wildlife?"	"SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/BBC_Wildlife_Specials> <http://dbpedia.org/ontology/presenter> ?uri . }"	"Chi è il presentatore degli speciali della BBC Wildlife?"	""	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"5"	"Quanto è costato Pulp Fiction?"	"SELECT DISTINCT ?n WHERE {  <http://dbpedia.org/resource/Pulp_Fiction> <http://dbpedia.org/ontology/budget> ?n . } "	"Quanto è costato Pulp Fiction?"	""	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"6"	"In quale città si trova il birrificio della Heiniken?"	"SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Heineken> <http://dbpedia.org/ontology/manufacturer> ?x . ?x <http://dbpedia.org/ontology/locationCity> ?uri . }"	"In quale città si trova il birrificio della Heiniken?"	""	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"
"7"	"Quando è iniziata l'operatione Overlord?"	"SELECT DISTINCT ?d WHERE { <http://dbpedia.org/resource/Operation_Overlord> <http://dbpedia.org/ontology/date> ?d . } "	"Quando è iniziata l'operatione Overlord?"	""	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"8"	"In quale città termina la Route 68 in Cile?"	"SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/Chile_Route_68> <http://dbpedia.org/ontology/routeEnd> ?uri . } "	"In quale città termina la Route 68 in Cile?"	""	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"9"	"Chi ha sviluppato Slack?"	"SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/product> <http://dbpedia.org/resource/Slack_(software)> . }"	"Chi ha sviluppato Slack?"	""	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"10"	"Chi è stato sposato con il presidente Chirac?"	"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
SELECT DISTINCT ?uri
WHERE { 
         res:Jacques_Chirac dbo:spouse ?uri .
}"	"Chi è stato sposato con il presidente Chirac?"	""	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"11"	"Di cosa è morto Bruce Carver?"	"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/>
SELECT DISTINCT ?uri
WHERE {
        res:Bruce_Carver dbo:deathCause ?uri .     
}"	"Di cosa è morto Bruce Carver?"	""	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"
"12"	"Chi dipinse il Cristo nella tempesta sul mare di Galilea?"	"PREFIX dbp: <http://dbpedia.org/property/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
	res:The_Storm_on_the_Sea_of_Galilee dbp:artist ?uri .
}"	"Chi dipinse il Cristo nella tempesta sul mare di Galilea?"	""	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"13"	"Attraverso quali città scorre il fiume Weser?"	"SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/Weser> <http://dbpedia.org/ontology/city> ?uri . } "	"Attraverso quali città scorre il fiume Weser?"	""	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"
"14"	"Quanti posti a sedere ha lo stadio del FC Porto"	"SELECT DISTINCT ?n WHERE { <http://dbpedia.org/resource/FC_Porto> <http://dbpedia.org/ontology/ground> ?x . ?x <http://dbpedia.org/ontology/seatingCapacity> ?n . } "	"Quanti posti a sedere ha lo stadio del FC Porto"	""	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"15"	"Con chi è sposata la figlia di Robert Kennedy?"	"SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/Robert_F._Kennedy> <http://dbpedia.org/ontology/child> ?child .  ?child <http://dbpedia.org/ontology/spouse> ?uri . } "	"Con chi è sposata la figlia di Robert Kennedy?"	""	"0.0"	"0.0"	"4.0"	"0.0"	"0.0"	"0.0"
"16"	"Quali libri di Kerouac furono pubblicati da Viking Press?"	"SELECT DISTINCT ?uri WHERE {  ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Book> .  ?uri <http://dbpedia.org/ontology/publisher> <http://dbpedia.org/resource/Viking_Press> .  ?uri <http://dbpedia.org/ontology/author> <http://dbpedia.org/resource/Jack_Kerouac> . } "	"Quali libri di Kerouac furono pubblicati da Viking Press?"	""	"0.0"	"0.0"	"3.0"	"0.0"	"0.0"	"0.0"
"17"	"Quanto è alta Amazon Eve?"	"SELECT DISTINCT ?height WHERE {  <http://dbpedia.org/resource/Amazon_Eve> <http://dbpedia.org/ontology/height> ?height . } "	"Quanto è alta Amazon Eve?"	""	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"
"18"	"In quale museo è esposto l'Urlo di Munch?"	"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE {
       res:The_Scream dbo:museum ?uri .
}"	"In quale museo è esposto l'Urlo di Munch?"	""	"0.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"
"19"	"Chi ha scritto il libro I pilastri della Terra?"	"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
	res:The_Pillars_of_the_Earth dbo:author ?uri .
}"	"Chi ha scritto il libro I pilastri della Terra?"	""	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"20"	"James è Bond sposato?"	"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
ASK 
WHERE {
        res:James_Bond dbo:spouse ?uri . 
}"	"James è Bond sposato?"	""	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"21"	"Chi ha scoperto Cerere?"	"SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ceres_(dwarf_planet)> <http://dbpedia.org/ontology/discoverer> ?uri . }"	"Chi ha scoperto Cerere?"	""	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"22"	"Quale fiume attraversa il ponte di Brooklyn?"	"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE {       
        res:Brooklyn_Bridge dbo:crosses ?uri . 
}"	"Quale fiume attraversa il ponte di Brooklyn?"	""	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"23"	"Chi venne chiamato Frank The Tank?"	"PREFIX dbp: <http://dbpedia.org/property/> 
SELECT DISTINCT ?uri 
WHERE { 
        ?uri dbp:nickname 'Frank The Tank'@en . 
}"	"Chi venne chiamato Frank The Tank?"	""	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"
