LemonEntry,partOfSpeech,writtenFormInfinitive/2ndPerson,writtenForm3rdPerson,writtenFormPast,preposition,SyntacticFrame,subject,prepositionalAdjunct,sense,reference,domain,range,GrammarRule 1 :question 1,GrammarRule 1 :question 2,GrammarRule 1 :sparql,Grammar rule 2: question1,Grammar rule 2: question2,sparql2
flow_through,verb,flow,,,through,InTransitiveFrame,domain,range,1,dbo:country,dbo:River,dbo:Country,What dbo:River(X)  through Y(dbo:Country)?,FALSE,SELECT ?X WHERE { ?X dbo:country Y.},Which dbo:Country(X) does Y(dbo:River) flow through?,FALSE,SELECT ?X WHERE { Y dbo:country ?X.}
-,verb,flow,,,through,InTransitiveFrame,domain,range,2,dbo:city,dbo:River,dbo:City,What dbo:River(X)  through Y(dbo:City)?,FALSE,SELECT ?X WHERE { ?X dbo:city Y.},Which dbo:City(X) does Y(dbo:River) flow through?,FALSE,SELECT ?X WHERE { Y dbo:city ?X.}
grow_in,verb,grow,,,in,InTransitiveFrame,range,domain,1,dbo:growingGrape,dbo:WineRegion,dbo:Grape,What dbo:Grape (Y)  in X(dbo:WineRegion)? ,FALSE,SELECT ?Y WHERE { X dbo:growingGrape ?Y.},Which dbo:WineRegion (X) does Y(dbo:Grape) grow in?,FALSE,SELECT ?X WHERE { ?X dbo:growingGrape Y.}
stand_for,verb,stand,,,for,InTransitiveFrame,range,domain,1,dbo:abbreviation,owl:Thing,dbo:string,What dbo:string (Y)  for X(owl:Thing)? ,FALSE,SELECT ?Y WHERE { X dbo:abbreviation ?Y.},Which owl:Thing (X) does Y(dbo:string) stand for?,FALSE,SELECT ?X WHERE { ?X dbo:abbreviation Y.}
starr_in,verb,star,,,in,InTransitiveFrame,domain,range,1,dbo:starring,dbo:Film,dbo:Actor,What dbo:Film(X)  in Y(dbo:Actor)?,FALSE,SELECT ?X WHERE { ?X dbo:starring Y.},Which dbo:Actor(X) does Y(dbo:Film) star in?,FALSE,SELECT ?X WHERE { Y dbo:starring ?X.}
begin_at,verb,begin,,,at,InTransitiveFrame,domain,range,1,dbp:source1Location,dbo:River,dbo:Country,What dbo:River(X)  at Y(dbo:Country)?,FALSE,SELECT ?X WHERE { ?X dbp:source1Location Y.},Which dbo:Country(X) does Y(dbo:River) begin at?,FALSE,SELECT ?X WHERE { Y dbp:source1Location ?X.}
-,verb,begin,,,at,InTransitiveFrame,domain,range,1,dbp:source2Location,dbo:River,dbo:City,What dbo:River(X)  at Y(dbo:City)?,FALSE,SELECT ?X WHERE { ?X dbp:source2Location Y.},Which dbo:City(X) does Y(dbo:River) begin at?,FALSE,SELECT ?X WHERE { Y dbp:source2Location ?X.}
flow_into,verb,flow,,,into,InTransitiveFrame,range,domain,1,dbo:inflow,dbo:BodyOfWater,dbo:BodyOfWater,What dbo:BodyOfWater (Y)  into X(dbo:BodyOfWater)? ,FALSE,SELECT ?Y WHERE { X dbo:inflow ?Y.},Which dbo:BodyOfWater (X) does Y(dbo:BodyOfWater) flow into?,FALSE,SELECT ?X WHERE { ?X dbo:inflow Y.}
draft_in,verb,draft,,,in,InTransitiveFrame,domain,range,1,dbo:draftYear,dbo:AmericanFootballPlayer,xsd:gYear,What dbo:AmericanFootballPlayer(X)  in Y(xsd:gYear)?,FALSE,SELECT ?X WHERE { ?X dbo:draftYear Y.},Which xsd:gYear(X) does Y(dbo:AmericanFootballPlayer) draft in?,FALSE,SELECT ?X WHERE { Y dbo:draftYear ?X.}
complete_in,verb,complete,,,in,InTransitiveFrame,domain,range,1,dbo:buildingEndDate,dbo:ArchitecturalStructure,xsd:gYear,-,FALSE,SELECT ?X WHERE { ?X dbo:buildingEndDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:buildingEndDate ?X.}
-,verb,complete,,,in,InTransitiveFrame,domain,range,2,dbo:completionDate,dbo:Work,xsd:gYear,-,FALSE,SELECT ?X WHERE { ?X dbo:completionDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:completionDate ?X.}
-,verb,complete,,,in,InTransitiveFrame,domain,range,3,dbo:buildingEndDate,dbo:Bridge,xsd:gYear,-,FALSE,SELECT ?X WHERE { ?X dbo:buildingEndDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:buildingEndDate ?X.}
-,verb,complete,,,in,InTransitiveFrame,domain,range,4,dbo:buildingEndDate,dbo:Building,xsd:gYear,-,FALSE,SELECT ?X WHERE { ?X dbo:buildingEndDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:buildingEndDate ?X.}
build_in,verb,build,,,in,InTransitiveFrame,domain,range,1,dbo:buildingStartDate,dbo:ArchitecturalStructure,xsd:gYear,-,FALSE,SELECT ?X WHERE { ?X dbo:buildingStartDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:buildingStartDate ?X.}
-,verb,build,,,in,InTransitiveFrame,domain,range,2,dbo:buildingStartDate,dbo:Bridge,xsd:gYear,-,FALSE,SELECT ?X WHERE { ?X dbo:buildingStartDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:buildingStartDate ?X.}
-,verb,build,,,in,InTransitiveFrame,domain,range,3,dbo:buildingStartDate,dbo:Building,xsd:gYear,-,FALSE,SELECT ?X WHERE { ?X dbo:buildingStartDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:buildingStartDate ?X.}
inaugurate_in,verb,inaugurate,,,in,InTransitiveFrame,domain,range,1,dbo:openingDate,dbo:ArchitecturalStructure,xsd:gYear,-,FALSE,SELECT ?X WHERE { ?X dbo:openingDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:openingDate ?X.}
,verb,inaugurate,,,in,InTransitiveFrame,domain,range,2,dbo:openingDate,dbo:Bridge,xsd:gYear,-,FALSE,SELECT ?X WHERE { ?X dbo:openingDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:openingDate ?X.}
,verb,inaugurate,,,in,InTransitiveFrame,domain,range,3,dbo:openingDate,dbo:Building,xsd:gYear,-,FALSE,SELECT ?X WHERE { ?X dbo:openingDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:openingDate ?X.}
founded_on,verb,find,,,on,InTransitiveFrame,domain,range,1,dbo:foundingDate,dbo:Organisation,xsd:date,-,Which dbo:Organisation(X) was  on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:foundingDate Y.},-,When xsd:date(X) was Y(dbo:Organisation)  ?,SELECT ?X WHERE { Y dbo:foundingDate ?X.}
-,verb,found,,,on,InTransitiveFrame,domain,range,2,dbo:foundingDate,dbo:Settlement,xsd:date,-,Which dbo:Settlement(X) was  on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:foundingDate Y.},-,When xsd:date(X) was Y(dbo:Settlement)  ?,SELECT ?X WHERE { Y dbo:foundingDate ?X.}
-,verb,found,,,on,InTransitiveFrame,domain,range,4,dbo:formationDate,dbo:PoliticalParty,xsd:date,-,Which dbo:PoliticalParty(X) was  on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:formationDate Y.},-,When xsd:date(X) was Y(dbo:PoliticalParty)  ?,SELECT ?X WHERE { Y dbo:formationDate ?X.}
founded_in,verb,find,,,in,InTransitiveFrame,domain,range,2,dbo:foundingYear,dbo:Organisation,xsd:gYear,,FALSE,SELECT ?X WHERE { ?X dbo:foundingYear Y.},-,FALSE,SELECT ?X WHERE { Y dbo:foundingYear ?X.}
-,verb,found,,,in,InTransitiveFrame,domain,range,2,dbo:foundingDate,dbo:Settlement,xsd:gYear,-,FALSE,SELECT ?X WHERE { ?X dbo:foundingDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:foundingDate ?X.}
-,verb,found,,,in,InTransitiveFrame,domain,range,4,dbo:formationDate,dbo:PoliticalParty,xsd:gYear,-,FALSE,SELECT ?X WHERE { ?X dbo:formationDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:formationDate ?X.}
released_on,verb,release,,,at,InTransitiveFrame,domain,range,1,dbo:releaseDate,dbo:TelevisionShow,xsd:date,-,Which dbo:TelevisionShow(X) was  at Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:releaseDate Y.},-,When xsd:date(X) was Y(dbo:TelevisionShow)  ?,SELECT ?X WHERE { Y dbo:releaseDate ?X.}
-,verb,release,,,at,InTransitiveFrame,domain,range,2,dbo:releaseDate,dbo:Song,xsd:date,-,Which dbo:Song(X) was  at Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:releaseDate Y.},-,When xsd:date(X) was Y(dbo:Song)  ?,SELECT ?X WHERE { Y dbo:releaseDate ?X.}
-,verb,release,,,at,InTransitiveFrame,domain,range,3,dbo:releaseDate,dbo:Software,xsd:date,-,Which dbo:Software(X) was  at Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:releaseDate Y.},-,When xsd:date(X) was Y(dbo:Software)  ?,SELECT ?X WHERE { Y dbo:releaseDate ?X.}
,verb,release,,,on,InTransitiveFrame,domain,range,1,dbo:computingPlatform,dbo:Software,owl:Thing,What dbo:Software(X)  on Y(owl:Thing)?,FALSE,SELECT ?X WHERE { ?X dbo:computingPlatform Y.},Which owl:Thing(X) does Y(dbo:Software) release on?,FALSE,SELECT ?X WHERE { Y dbo:computingPlatform ?X.}
published_on,verb,publish,,,on,InTransitiveFrame,domain,range,1,dbp:published,dbo:Song,xsd:date,-,Which dbo:Song(X) was  on Y(xsd:date)?,SELECT ?X WHERE { ?X dbp:published Y.},-,When xsd:date(X) was Y(dbo:Song)  ?,SELECT ?X WHERE { Y dbp:published ?X.}
-,verb,publish,,,on,InTransitiveFrame,domain,range,1,dbp:published,dbo:Article,xsd:date,-,Which dbo:Article(X) was  on Y(xsd:date)?,SELECT ?X WHERE { ?X dbp:published Y.},-,When xsd:date(X) was Y(dbo:Article)  ?,SELECT ?X WHERE { Y dbp:published ?X.}
-,verb,publish,,,on,InTransitiveFrame,domain,range,1,dbo:publicationDate,dbo:Book,xsd:date,-,Which dbo:Book(X) was  on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:publicationDate Y.},-,When xsd:date(X) was Y(dbo:Book)  ?,SELECT ?X WHERE { Y dbo:publicationDate ?X.}
published_in,verb,publish,,,in,InTransitiveFrame,domain,range,1,dbp:published,dbo:Song,xsd:gYear,-,FALSE,SELECT ?X WHERE { ?X dbp:published Y.},-,FALSE,SELECT ?X WHERE { Y dbp:published ?X.}
-,verb,publish,,,in,InTransitiveFrame,domain,range,1,dbp:published,dbo:Article,xsd:gYear,-,FALSE,SELECT ?X WHERE { ?X dbp:published Y.},-,FALSE,SELECT ?X WHERE { Y dbp:published ?X.}
-,verb,publish,,,in,InTransitiveFrame,domain,range,1,dbo:publicationDate,dbo:Book,xsd:gYear,-,FALSE,SELECT ?X WHERE { ?X dbo:publicationDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:publicationDate ?X.}
dissolve_on,verb,dissolve,,,on,InTransitiveFrame,domain,range,1,dbo:dissolutionDate,dbo:PopulatedPlace,xsd:date,-,Which dbo:PopulatedPlace(X) was  on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:dissolutionDate Y.},-,When xsd:date(X) was Y(dbo:PopulatedPlace)  ?,SELECT ?X WHERE { Y dbo:dissolutionDate ?X.}
dissolve_in,verb,dissolve,,,in,InTransitiveFrame,domain,range,1,dbo:dissolutionDate,dbo:PopulatedPlace,xsd:gYear,-,FALSE,SELECT ?X WHERE { ?X dbo:dissolutionDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:dissolutionDate ?X.}
destroy_on,verb,destroy,,,on,InTransitiveFrame,domain,range,1,dbo:demolitionDate,dbo:ArchitecturalStructure,xsd:date,-,Which dbo:ArchitecturalStructure(X) was  on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:demolitionDate Y.},-,When xsd:date(X) was Y(dbo:ArchitecturalStructure)  ?,SELECT ?X WHERE { Y dbo:demolitionDate ?X.}
destroy_in,verb,destroy,,,in,InTransitiveFrame,domain,range,2,dbo:demolitionDate,dbo:ArchitecturalStructure,xsd:gYear,-,FALSE,SELECT ?X WHERE { ?X dbo:demolitionDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:demolitionDate ?X.}
