LemonEntry,partOfSpeech,writtenForm (singular),writtenForm (plural),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference,domain,range,domainWrittenSingularForm, domainWrittenPluralForm,rangeWrittenSingularForm,rangeWrittenPluralFormIndex
birthPlace_of,noun,birth place,-,of,NounPPFrame,range,domain,1,dbo:birthPlace,dbo:Person,dbo:Place,Person,Persons,Place,Places
height_of,noun,height,-,of,NounPPFrame,range,domain,1,dbo:height,dbo:Person,xsd:double,Person,Persons,-,-
deathPlace_of,noun,death place,-,of,NounPPFrame,range,domain,1,dbo:deathPlace,dbo:Person,dbo:Place,Person,Persons,Place,Places
father_of,noun,father,-,of,NounPPFrame,range,domain,1,dbo:father,dbo:Person,dbo:Person,Person,Persons,Person,Persons
successor-of,noun,successor,-,of,NounPPFrame,range,domain,1,dbo:successor,dbo:Person,dbo:Person,Person,Persons,Person,Persons
residence-of,noun,residence,residences,of,NounPPFrame,range,domain,1,dbo:residence,dbo:Place,dbo:Person,Place,Places,Person,Persons
partner-of,noun,partner,partners,of,NounPPFrame,range,domain,1,dbo:partner,dbo:Person,dbo:Person,Person,Persons,Person,Persons
spouse-of,noun,spouse,spouses,of,NounPPFrame,range,domain,1,dbo:spouse,dbo:Person,dbo:Person,Person,Persons,Person,Persons
birthDate-of,noun,birth date,-,of,NounPPFrame,range,domain,1,dbo:birthDate,dbo:Person,xsd:date,Person,Persons,-,-
education-of,noun,education,-,of,NounPPFrame,range,domain,1,dbo:education,dbo:Person,xsd:string,Person,Persons,-,-
nationality_of,noun,nationality,-,of,NounPPFrame,range,domain,1,dbo:nationality,dbo:Person,dbo:Country,Person,Persons,Person,Persons
editor_of,noun,editor,editors,of,NounPPFrame,range,domain,1,dbo:editor,dbo:Work,dbo:Person,Work,Works,Person,Persons
creator_of,noun,creator,creators,of,NounPPFrame,range,domain,1,dbo:creator,dbo:Person,dbo:Agent,Person,Persons,Agent,Agents
capital-of,noun,capital,-,of,NounPPFrame,range,domain,1,dbo:capital,dbo:Country,dbo:City,Country,Countries,City,Cities
city-of,noun,city,cities,of,NounPPFrame,range,domain,1,dbo:city,dbo:Country,dbo:City,Country,Countries,City,Cities
formOfGovernment-of,noun,form of government,-,of,NounPPFrame,range,domain,1,dbo:governmentType,dbo:Country,dbo:GovernmentType,Country,Countries,Goverment type,Goverment types
countryCode-of,noun,country code,-,of,NounPPFrame,range,domain,1,dbo:countryCode,dbo:Country,xsd:integer,Country,Countries,-,-
assets-of,noun,assets,-,of,NounPPFrame,range,domain,1,dbo:assets,dbo:Company,xsd:double,Company,Companies,-,-
subsidiary-of,noun,subsidiary,subsidiaries,of,NounPPFrame,range,domain,1,dbo:subsidiary,dbo:Company,dbo:Company,Company,Companies,Company,Companies
predecessor-of,noun,predecessor,-,of,NounPPFrame,range,domain,1,dbo:predecessor,dbo:Person,dbo:Politician,Person,Persons,Politician,Politicians
equity-of,noun,equity,-,of,NounPPFrame,range,domain,1,dbo:equity,dbo:Company,xsd:double,Company,Companies,-,-
postalCode-of,noun,postal code,-,of,NounPPFrame,range,domain,1,dbo:postalCode,dbo:City,xsd:string,City,Cities,-,-
populationTotal-of,noun,total population,-,of,NounPPFrame,range,domain,1,dbo:populationTotal,dbo:Place,xsd:nonNegativeInteger,Place,Places,-,-
completionDate-of,noun,completion date,-,of,NounPPFrame,range,domain,1,dbo:completionDate,dbo:TelevisionShow,xsd:date,Television show,Television shows,-,-
nearestCity-to,noun,nearest city,nearest cities,to,NounPPFrame,range,domain,1,dbo:nearestCity,dbo:Place,dbo:PopulatedPlace,Place,Places,populated Place,populated Places
revenue-of,noun,revenue,-,of,NounPPFrame,range,domain,1,dbo:revenue,dbo:Organisation,xsd:double,Organisation,Organisations,-,-
keyPerson-of,noun,key person,key persons,of,NounPPFrame,range,domain,1,dbo:keyPerson,dbo:Organisation,dbo:Person,Organisation,Organisations,Person,Persons
formerName-of,noun,former name,-,of,NounPPFrame,range,domain,1,dbo:formerName,dbo:Organisation,rdf:langString,Organisation,Organisations,-,-
abbreviation-of,noun,abbrevation,-,of,NounPPFrame,range,domain,1,dbo:abbreviation,dbo:Organisation,xsd:string,Organisation,Organisations,-,-
formationDate-of,noun,formation date,-,of,NounPPFrame,range,domain,1,dbo:formationDate,dbo:Organisation,xsd:date,Organisation,Organisations,-,-
runtime-of,noun,runtime,-,of,NounPPFrame,range,domain,2,dbo:runtime,dbo:TelevisionShow,xsd:double,Television show,Television shows,-,-
associatedMusicalArtist-of,noun,associated musical artist ,associated musical artists,of,NounPPFrame,range,domain,1,dbo:associatedMusicalArtist,dbo:MusicalArtist,dbo:Person,Musician,Musicians,Person,Persons
artist-of,noun,artist,artists,of,NounPPFrame,range,domain,1,dbo:artist,dbo:MusicalWork,dbo:Agent,Musical work,Musical works,Agent,Agents
buidlingEndDate-of,noun,building end date,building end dates,of,NounPPFrame,range,domain,1,dbo:buildingEndDate,dbo:Location,xsd:date,Location,Locations,-,-
occupation-of,noun,occupation,occupations,of,NounPPFrame,range,domain,1,dbo:occupation,dbo:Person,dbo:PersonFunction,Person,Persons,function of Person,function of Persons
length_of,noun,length,-,of,NounPPFrame,range,domain,1,dbp:length,dbo:River,xsd:nonNegativeInteger,River,Rivers,-,-
opponent-of,noun,opponent,opponents,of,NounPPFrame,range,domain,1,dbo:opponent,dbo:Person,dbo:Person,Person,Persons,Person,Persons
showJudge-of,noun,show judge,show judges,of,NounPPFrame,range,domain,1,dbo:showJudge ,dbo:TelevisionShow,dbo:Person,Television show,Television shows,Person,Persons
electoralDistrict-of,noun,electoral District,-,of,NounPPFrame,range,domain,1,dbo:region,dbo:Politician,dbo:Place,Politician,Politicians,Place,Places
releaseDate-of,noun,realease date,-,of,NounPPFrame,range,domain,2,dbo:releaseDate,dbo:Song,xsd:date,Song,Songs,-,-
