"id","question","sparql","answer","frame"
"0","Qual era la genere di Tomasz Kot?","SELECT ?label WHERE {    <http://www.wikidata.org/entity/Q1881915> <http://www.wikidata.org/prop/direct/P136> ?object.  ?object rdfs:label ?label         FILTER (langMatches( lang(?label), ""IT"" ) )}","cinema","NPP"
"1","Qual è la genere di Tomasz Kot?","SELECT ?label WHERE {    <http://www.wikidata.org/entity/Q1881915> <http://www.wikidata.org/prop/direct/P136> ?object.  ?object rdfs:label ?label         FILTER (langMatches( lang(?label), ""IT"" ) )}","cinema","NPP"
"2","Qual era la genere di Ultime lettere da Stalingrado?","SELECT ?label WHERE {    <http://www.wikidata.org/entity/Q1754838> <http://www.wikidata.org/prop/direct/P136> ?object.  ?object rdfs:label ?label         FILTER (langMatches( lang(?label), ""IT"" ) )}","guerra","NPP"
"3","Qual è la genere di Ultime lettere da Stalingrado?","SELECT ?label WHERE {    <http://www.wikidata.org/entity/Q1754838> <http://www.wikidata.org/prop/direct/P136> ?object.  ?object rdfs:label ?label         FILTER (langMatches( lang(?label), ""IT"" ) )}","guerra","NPP"
"4","Qual era la genere di Quell'ultimo ponte?","SELECT ?label WHERE {    <http://www.wikidata.org/entity/Q3622150> <http://www.wikidata.org/prop/direct/P136> ?object.  ?object rdfs:label ?label         FILTER (langMatches( lang(?label), ""IT"" ) )}","guerra","NPP"
"5","Qual è la genere di Quell'ultimo ponte?","SELECT ?label WHERE {    <http://www.wikidata.org/entity/Q3622150> <http://www.wikidata.org/prop/direct/P136> ?object.  ?object rdfs:label ?label         FILTER (langMatches( lang(?label), ""IT"" ) )}","guerra","NPP"
"6","Qual era la genere di Dave Brown?","SELECT ?label WHERE {    <http://www.wikidata.org/entity/Q4096105> <http://www.wikidata.org/prop/direct/P136> ?object.  ?object rdfs:label ?label         FILTER (langMatches( lang(?label), ""IT"" ) )}","commedia","NPP"
"7","Qual è la genere di Dave Brown?","SELECT ?label WHERE {    <http://www.wikidata.org/entity/Q4096105> <http://www.wikidata.org/prop/direct/P136> ?object.  ?object rdfs:label ?label         FILTER (langMatches( lang(?label), ""IT"" ) )}","commedia","NPP"
"8","Qual era la genere di Il giocatore occulto?","SELECT ?label WHERE {    <http://www.wikidata.org/entity/Q3794160> <http://www.wikidata.org/prop/direct/P136> ?object.  ?object rdfs:label ?label         FILTER (langMatches( lang(?label), ""IT"" ) )}","letteratura del mistero","NPP"
"9","Qual è la genere di Il giocatore occulto?","SELECT ?label WHERE {    <http://www.wikidata.org/entity/Q3794160> <http://www.wikidata.org/prop/direct/P136> ?object.  ?object rdfs:label ?label         FILTER (langMatches( lang(?label), ""IT"" ) )}","letteratura del mistero","NPP"
