LemonEntry,partOfSpeech,writtenForm (singular),writtenForm (plural),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference,domain,range
areaCode_of,noun,il prefisso,i prefissi ,di,NounPPFrame,range,domain,1,dbo:areaCode,dbo:Place,xsd:string
author_of_m,noun,l'autore,gli autori,di,NounPPFrame,range,domain,1,dbo:author,dbo:Work,dbo:Person
author_of_f,noun,l'autrice,le autrice,di,NounPPFrame,range,domain,1,dbo:author,dbo:Work,dbo:Person
artisticMovement_of,noun,il movimento artistico,i movimenti artistici,di,NounPPFrame,range,domain,1,dbo:movement,dbo:Artist,owl:Thing
birthPlace_of,noun,il luogo di nascita,-,di,NounPPFrame,range,domain,1,dbo:birthPlace,dbo:Person,dbo:Place
birthYear_of,noun,l'anno di nascita,-,di,NounPPFrame,range,domain,1,dbo:birthYear,dbo:Person,xsd:gYear
causeOfDeath_of,noun,la causa della morte,le cause della morte,di,NounPPFrame,range,domain,1,dbo:deathCause,dbo:Person,owl:Thing
child_of_m,noun,il figlio,i figli,di,NounPPFrame,range,domain,1,dbo:child,dbo:Person,dbo:Person
child_of_f,noun,la figlia,le figlie,di,NounPPFrame,range,domain,1,dbo:child,dbo:Person,dbo:Person
completionDate-of,noun,la data di completamento,-,di,NounPPFrame,range,domain,1,dbo:completionDate,dbo:TelevisionShow,xsd:date
cost_of,noun,il costo,-,di,NounPPFrame,range,domain,1,dbo:budget,dbo:Film,xsd:double
currency_of,noun,la valuta,le valute,di,NounPPFrame,range,domain,1,dbo:currency,dbo:Country,dbo:Currency
deathDate-of,noun,la data della morte,-,di,NounPPFrame,range,domain,1,dbo:deathDate,dbo:Person,xsd:date
developer_of_m,noun,lo sviluppatore,gli sviluppatori,di,NounPPFrame,range,domain,1,dbo:developer,dbo:Work,dbo:Agent
developer_of_m,noun,la sviluppatrice,le sviluppatrici,di,NounPPFrame,range,domain,1,dbo:developer,dbo:Work,dbo:Agent
dissolutionDate_of,noun,la data di scioglimento,-,di,NounPPFrame,range,domain,1,dbo:dissolutionDate,dbo:PopulatedPlace,xsd:date
doctoralSupervisor_of,noun,il supervisore di dottorato,i supervisori di dottorato,di,NounPPFrame,range,domain,1,dbo: doctoralAdvisor,dbo:Scientist,dbo:Person
editor_of,noun,l'editor,gli editor,di,NounPPFrame,range,domain,1,dbo:editor,dbo:Work,dbo:Person
elevation_of,noun,l'altezza,-,di,NounPPFrame,range,domain,1,dbo:areaUrban,dbo:PopulatedPlace,xsd:double
episode_of,noun,l'episodio,gli episodi,di,NounPPFrame,range,domain,1,dbo:series,dbo:TelevisionEpisode,dbo:TelevisionShow
father_of,noun,iil padre,-,di,NounPPFrame,range,domain,1,dbo:father,dbo:Person,dbo:Person
foundationPlace_of,noun,il luogo di fondazione,-,di,NounPPFrame,range,domain,1,dbo:foundationPlace,dbo:Organisation,dbo:City
founder_of_m,noun,il fondatore,i fondatori,di,NounPPFrame,range,domain,1,dbo:parentCompany,dbo:Company,dbo:Company
founder_of_f,noun,la fondatrice,le fondatrici,di,NounPPFrame,range,domain,1,dbo:parentCompany,dbo:Company,dbo:Company
foundingYear_of,noun,l'anno di fondazione,-,di,NounPPFrame,range,domain,1,dbo:foundingYear,dbo:Company,xsd:gYear
formOfGovernment-of,noun,la forma di governo,-,di,NounPPFrame,range,domain,1,dbo:governmentType,dbo:Country,dbo:GovernmentType
headquarter_of,noun,il quartier generale,-,di,NounPPFrame,range,domain,1,dbo:headquarter,dbo:Organisation,dbo:PopulatedPlace
height_of,noun,l'altezza,-,di,NounPPFrame,range,domain,1,dbo:height,dbo:Person,xsd:double
homeStadium_of,noun,lo stadio,gli stadi,di,NounPPFrame,range,domain,1,dbo:ground,dbo:SoccerClub,dbo:Building
host_of,noun,il conduttore,i conduttori,di,NounPPFrame,range,domain,1,dbo:presenter,dbo:TelevisionShow,dbo:Person
host_of,noun,la conduttrice,le conduttrici,di,NounPPFrame,range,domain,1,dbo:presenter,dbo:TelevisionShow,dbo:Person
influencer_of,noun,l'influenza,le influenze,di,NounPPFrame,range,domain,1,dbo:influenced,dbo:Person,dbo:Person
ingredient_of,noun,l'ingrediente,gli ingredienti,di,NounPPFrame,range,domain,1,dbo:ingredient,dbo:Food,owl:Thing
largestCity_of,noun,la città più grande,-,di,NounPPFrame,range,domain,1,dbo:largestCity,dbo:Country,dbo:City
leader-of,noun,il capo del governo,-,di,NounPPFrame,range,domain,1,dbo:leader,dbo:Country,dbo:Person
location-of,noun,la posizione,-,di,NounPPFrame,range,domain,1,dbo:location,dbo:Place,dbo:Place
manufacturer-of,noun,il produttore,i produttori,di,NounPPFrame,range,domain,1,dbo:manufacturer,owl:Thing,dbo:Organisation
mayor_of,noun,il sindaco,-,di,NounPPFrame,range,domain,1,dbo:mayor,dbo:City,dbo:Person
musicComposer-of,noun,il compositore,i compositori,di,NounPPFrame,range,domain,1,dbo:musicComposer,dbo:Film,dbo:Person
nationality_of,noun,la nazionalità,-,di,NounPPFrame,range,domain,1,dbo:nationality,dbo:Person,dbo:Country
numberOfPages-of,noun,il numero di pagine,-,di,NounPPFrame,range,domain,1,dbo:numberOfPages,dbo:WrittenWork,xsd:positiveInteger
party-of,noun,il partito,i partiti,di,NounPPFrame,range,domain,1,dbo:party,dbo:Politician,xsd:string
residence-of,noun,la residenza,le residenze,di,NounPPFrame,range,domain,1,dbo:residence,dbo:Place,dbo:Person
restingPlace-of,noun,il luogo di sepoltura,-,di,NounPPFrame,range,domain,1,dbo:restingPlace,dbo:Person,xsd:string
successor-of,noun,il successore,-,di,NounPPFrame,range,domain,1,dbo:successor,dbo:Person,dbo:Person
timeZone-of,noun,il fuso orario,i fusi orari,di,NounPPFrame,range,domain,1,dbo:timezone,dbo:City,xsd:string
