"id","question","sparql","answer","frame"
"0","Qual era la nazionalit?  di Balram Jakhar?","select  ?o    {    <http://dbpedia.org/resource/Balram_Jakhar> <http://dbpedia.org/ontology/nationality>  ?o    }","Indian nationality law","NPP"
"1","Qual è la nazionalit?  di Balram Jakhar?","select  ?o    {    <http://dbpedia.org/resource/Balram_Jakhar> <http://dbpedia.org/ontology/nationality>  ?o    }","Indian nationality law","NPP"
"2","Qual era la nazionalit?  di Baltacı Mehmed Pascià?","select  ?o    {    <http://dbpedia.org/resource/Baltacı_Mehmet_Pasha> <http://dbpedia.org/ontology/nationality>  ?o    }","Turkish people","NPP"
"3","Qual è la nazionalit?  di Baltacı Mehmed Pascià?","select  ?o    {    <http://dbpedia.org/resource/Baltacı_Mehmet_Pasha> <http://dbpedia.org/ontology/nationality>  ?o    }","Turkish people","NPP"
"4","Qual era la nazionalit?  di Baltasar Brum?","select  ?o    {    <http://dbpedia.org/resource/Baltasar_Brum> <http://dbpedia.org/ontology/nationality>  ?o    }","Uruguayans","NPP"
"5","Qual è la nazionalit?  di Baltasar Brum?","select  ?o    {    <http://dbpedia.org/resource/Baltasar_Brum> <http://dbpedia.org/ontology/nationality>  ?o    }","Uruguayans","NPP"
"6","Qual era la nazionalit?  di Baltasar Garzón?","select  ?o    {    <http://dbpedia.org/resource/Baltasar_Garzón> <http://dbpedia.org/ontology/nationality>  ?o    }","Spaniards","NPP"
"7","Qual è la nazionalit?  di Baltasar Garzón?","select  ?o    {    <http://dbpedia.org/resource/Baltasar_Garzón> <http://dbpedia.org/ontology/nationality>  ?o    }","Spaniards","NPP"
"8","Qual era la nazionalit?  di Balthasar van der Pol?","select  ?o    {    <http://dbpedia.org/resource/Balthasar_van_der_Pol> <http://dbpedia.org/ontology/nationality>  ?o    }","Netherlands","NPP"
"9","Qual è la nazionalit?  di Balthasar van der Pol?","select  ?o    {    <http://dbpedia.org/resource/Balthasar_van_der_Pol> <http://dbpedia.org/ontology/nationality>  ?o    }","Netherlands","NPP"
"10","Qual era la nazionalit?  di Balufu Bakupa-Kanyinda?","select  ?o    {    <http://dbpedia.org/resource/Balufu_Bakupa-Kanyinda> <http://dbpedia.org/ontology/nationality>  ?o    }","Democratic Republic of the Congo","NPP"
"11","Qual è la nazionalit?  di Balufu Bakupa-Kanyinda?","select  ?o    {    <http://dbpedia.org/resource/Balufu_Bakupa-Kanyinda> <http://dbpedia.org/ontology/nationality>  ?o    }","Democratic Republic of the Congo","NPP"
"12","Qual era la nazionalit?  di Balázs Kiss martellista?","select  ?o    {    <http://dbpedia.org/resource/Balázs_Kiss> <http://dbpedia.org/ontology/nationality>  ?o    }","Hungary","NPP"
"13","Qual è la nazionalit?  di Balázs Kiss martellista?","select  ?o    {    <http://dbpedia.org/resource/Balázs_Kiss> <http://dbpedia.org/ontology/nationality>  ?o    }","Hungary","NPP"
"14","Qual era la nazionalit?  di Balázs Kiss lottatore?","select  ?o    {    <http://dbpedia.org/resource/Balázs_Kiss_(wrestler)> <http://dbpedia.org/ontology/nationality>  ?o    }","Hungary","NPP"
"15","Qual è la nazionalit?  di Balázs Kiss lottatore?","select  ?o    {    <http://dbpedia.org/resource/Balázs_Kiss_(wrestler)> <http://dbpedia.org/ontology/nationality>  ?o    }","Hungary","NPP"
"16","Qual era la nazionalit?  di Balázs Németh?","select  ?o    {    <http://dbpedia.org/resource/Balázs_Németh> <http://dbpedia.org/ontology/nationality>  ?o    }","Hungary","NPP"
"17","Qual è la nazionalit?  di Balázs Németh?","select  ?o    {    <http://dbpedia.org/resource/Balázs_Németh> <http://dbpedia.org/ontology/nationality>  ?o    }","Hungary","NPP"
