LemonEntry,partOfSpeech,writtenFormInfinitive/2ndPerson,,writtenForm3rdPerson,,writtenFormPast,,preposition,,SyntacticFrame,subject,prepositionalAdjunct,sense,reference,domain,range,GrammarRule 1 :question 1,GrammarRule 1 :question 2,GrammarRule 1 :sparql,Grammar rule 2: question1,Grammar rule 2: question2,sparql2
flow_through,verb,flow,passare,flows,passa,flowed,passava,through,attraverso,InTransitiveFrame,domain,range,1,dbo:country,dbo:River,dbo:Country,What dbo:River(X) flows through Y(dbo:Country)?,FALSE,SELECT ?X WHERE { ?X dbo:country Y.},Which dbo:Country(X) does Y(dbo:River) flow through?,FALSE,SELECT ?X WHERE { Y dbo:country ?X.}
-,verb,flow,passare,flows,passa,flowed,passava,through,attraverso,InTransitiveFrame,domain,range,2,dbo:city,dbo:River,dbo:City,What dbo:River(X) flows through Y(dbo:City)?,FALSE,SELECT ?X WHERE { ?X dbo:city Y.},Which dbo:City(X) does Y(dbo:River) flow through?,FALSE,SELECT ?X WHERE { Y dbo:city ?X.}
grow_in,verb,grow,crescere,grows,cresce,grew,cresceva,in,nel,InTransitiveFrame,range,domain,1,dbo:growingGrape,dbo:WineRegion,dbo:Grape,What dbo:Grape (Y) grows in X(dbo:WineRegion)? ,FALSE,SELECT ?Y WHERE { X dbo:growingGrape ?Y.},Which dbo:WineRegion (X) does Y(dbo:Grape) grow in?,FALSE,SELECT ?X WHERE { ?X dbo:growingGrape Y.}
stand_for,verb,stand,,stands,,stood,,for,,InTransitiveFrame,range,domain,1,dbo:abbreviation,owl:Thing,dbo:string,What dbo:string (Y) stands for X(owl:Thing)? ,FALSE,SELECT ?Y WHERE { X dbo:abbreviation ?Y.},Which owl:Thing (X) does Y(dbo:string) stand for?,FALSE,SELECT ?X WHERE { ?X dbo:abbreviation Y.}
starr_in,verb,star,recitare,stars,recita,starred,ha recitato,in,in,InTransitiveFrame,domain,range,1,dbo:starring,dbo:Film,dbo:Actor,What dbo:Film(X) stars in Y(dbo:Actor)?,FALSE,SELECT ?X WHERE { ?X dbo:starring Y.},Which dbo:Actor(X) does Y(dbo:Film) star in?,FALSE,SELECT ?X WHERE { Y dbo:starring ?X.}
begin_at,verb,begin,partire,begins,parte,began,partiva,at,da,InTransitiveFrame,domain,range,1,dbp:source1Location,dbo:River,dbo:Country,What dbo:River(X) begins at Y(dbo:Country)?,FALSE,SELECT ?X WHERE { ?X dbp:source1Location Y.},Which dbo:Country(X) does Y(dbo:River) begin at?,FALSE,SELECT ?X WHERE { Y dbp:source1Location ?X.}
-,verb,begin,partire,begins,parte,began,partiva,at,da,InTransitiveFrame,domain,range,1,dbp:source2Location,dbo:River,dbo:City,What dbo:River(X) begins at Y(dbo:City)?,FALSE,SELECT ?X WHERE { ?X dbp:source2Location Y.},Which dbo:City(X) does Y(dbo:River) begin at?,FALSE,SELECT ?X WHERE { Y dbp:source2Location ?X.}
flow_into,verb,flow,confluire,flows,confluisce,flowed,confluiva,into,nel,InTransitiveFrame,range,domain,1,dbo:inflow,dbo:BodyOfWater,dbo:BodyOfWater,What dbo:BodyOfWater (Y) flows into X(dbo:BodyOfWater)? ,FALSE,SELECT ?Y WHERE { X dbo:inflow ?Y.},Which dbo:BodyOfWater (X) does Y(dbo:BodyOfWater) flow into?,FALSE,SELECT ?X WHERE { ?X dbo:inflow Y.}
draft_in,verb,draft,arruolare,drafts,arruola,drafted,arruolato,in,nel,InTransitiveFrame,domain,range,1,dbo:draftYear,dbo:AmericanFootballPlayer,xsd:gYear,What dbo:AmericanFootballPlayer(X) drafts in Y(xsd:gYear)?,FALSE,SELECT ?X WHERE { ?X dbo:draftYear Y.},Which xsd:gYear(X) does Y(dbo:AmericanFootballPlayer) draft in?,FALSE,SELECT ?X WHERE { Y dbo:draftYear ?X.}
complete_in,verb,complete,completare,completes,completa,completed,completato,in,nel,InTransitiveFrame,domain,range,1,dbo:buildingEndDate,dbo:ArchitecturalStructure,xsd:gYear,-,FALSE,SELECT ?X WHERE { ?X dbo:buildingEndDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:buildingEndDate ?X.}
-,verb,complete,completare,completes,completa,completed,completato,in,nel,InTransitiveFrame,domain,range,2,dbo:completionDate,dbo:Work,xsd:gYear,-,FALSE,SELECT ?X WHERE { ?X dbo:completionDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:completionDate ?X.}
-,verb,complete,completare,completes,completa,completed,completato,in,nel,InTransitiveFrame,domain,range,3,dbo:buildingEndDate,dbo:Bridge,xsd:gYear,-,FALSE,SELECT ?X WHERE { ?X dbo:buildingEndDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:buildingEndDate ?X.}
-,verb,complete,completare,completes,completa,completed,completato,in,nel,InTransitiveFrame,domain,range,4,dbo:buildingEndDate,dbo:Building,xsd:gYear,-,FALSE,SELECT ?X WHERE { ?X dbo:buildingEndDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:buildingEndDate ?X.}
build_in,verb,build,costruire,builds,costruisce,built,costruito,in,nel,InTransitiveFrame,domain,range,1,dbo:buildingStartDate,dbo:ArchitecturalStructure,xsd:gYear,-,FALSE,SELECT ?X WHERE { ?X dbo:buildingStartDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:buildingStartDate ?X.}
