LemonEntry,partOfSpeech,writtenFormInfinitive/2ndPerson,writtenForm3rdPerson,writtenFormPast,preposition,SyntacticFrame,subject,prepositionalAdjunct,sense,reference,domain,range
flow_through,verb,passare,passa,passava,attraverso,IntransitivePPFrame,domain,range,1,dbo:country,dbo:River,dbo:Country
-,verb,passare,passa,passava,attraverso,IntransitivePPFrame,domain,range,2,dbo:city,dbo:River,dbo:City
grow_in,verb,crescere,cresce,cresceva,nel,IntransitivePPFrame,range,domain,1,dbo:growingGrape,dbo:WineRegion,dbo:Grape
stand_for,verb,,,,,IntransitivePPFrame,range,domain,1,dbo:abbreviation,owl:Thing,dbo:string
starr_in,verb,recitare,recita,ha recitato,in,IntransitivePPFrame,domain,range,1,dbo:starring,dbo:Film,dbo:Actor
begin_at,verb,partire,parte,partiva,da,IntransitivePPFrame,domain,range,1,dbp:source1Location,dbo:River,dbo:Country
-,verb,partire,parte,partiva,da,IntransitivePPFrame,domain,range,1,dbp:source2Location,dbo:River,dbo:City
flow_into,verb,confluire,confluisce,confluiva,nel,IntransitivePPFrame,range,domain,1,dbo:inflow,dbo:BodyOfWater,dbo:BodyOfWater
draft_in,verb,arruolare,arruola,arruolato,nel,IntransitivePPFrame,domain,range,1,dbo:draftYear,dbo:AmericanFootballPlayer,xsd:gYear
complete_in,verb,completare,completa,completato,nel,IntransitivePPFrame,domain,range,1,dbo:buildingEndDate,dbo:ArchitecturalStructure,xsd:gYear
-,verb,completare,completa,completato,nel,IntransitivePPFrame,domain,range,2,dbo:completionDate,dbo:Work,xsd:gYear
-,verb,completare,completa,completato,nel,IntransitivePPFrame,domain,range,3,dbo:buildingEndDate,dbo:Bridge,xsd:gYear
-,verb,completare,completa,completato,nel,IntransitivePPFrame,domain,range,4,dbo:buildingEndDate,dbo:Building,xsd:gYear
build_in,verb,costruire,costruisce,costruito,nel,IntransitivePPFrame,domain,range,1,dbo:buildingStartDate,dbo:ArchitecturalStructure,xsd:gYear
