"id","question","sparql","answer_uri","answer_label","frame"
"0","Chi era il sindaco di Aarschot?","select  ?o    {    <http://dbpedia.org/resource/Aarschot> <http://dbpedia.org/ontology/mayor>  ?o    }","http://dbpedia.org/resource/Open_Flemish_Liberals_and_Democrats","Liberali e Democratici Fiamminghi Aperti","NPP"
"1","Chi è il sindaco di Aarschot?","select  ?o    {    <http://dbpedia.org/resource/Aarschot> <http://dbpedia.org/ontology/mayor>  ?o    }","http://dbpedia.org/resource/Open_Flemish_Liberals_and_Democrats","Liberali e Democratici Fiamminghi Aperti","NPP"
"2","Quale persona era il sindaco di Aarschot?","select  ?o    {    <http://dbpedia.org/resource/Aarschot> <http://dbpedia.org/ontology/mayor>  ?o    }","http://dbpedia.org/resource/Open_Flemish_Liberals_and_Democrats","Liberali e Democratici Fiamminghi Aperti","NPP"
"3","Quale persona è il sindaco di Aarschot?","select  ?o    {    <http://dbpedia.org/resource/Aarschot> <http://dbpedia.org/ontology/mayor>  ?o    }","http://dbpedia.org/resource/Open_Flemish_Liberals_and_Democrats","Liberali e Democratici Fiamminghi Aperti","NPP"
"4","il sindaco di Aarschot","select  ?o    {    <http://dbpedia.org/resource/Aarschot> <http://dbpedia.org/ontology/mayor>  ?o    }","http://dbpedia.org/resource/Open_Flemish_Liberals_and_Democrats","Liberali e Democratici Fiamminghi Aperti","NPP"
"5","Chi era il sindaco di Anversa?","select  ?o    {    <http://dbpedia.org/resource/Antwerp> <http://dbpedia.org/ontology/mayor>  ?o    }","http://dbpedia.org/resource/Bart_De_Wever","Bart De Wever","NPP"
"6","Chi è il sindaco di Anversa?","select  ?o    {    <http://dbpedia.org/resource/Antwerp> <http://dbpedia.org/ontology/mayor>  ?o    }","http://dbpedia.org/resource/Bart_De_Wever","Bart De Wever","NPP"
"7","Quale persona era il sindaco di Anversa?","select  ?o    {    <http://dbpedia.org/resource/Antwerp> <http://dbpedia.org/ontology/mayor>  ?o    }","http://dbpedia.org/resource/Bart_De_Wever","Bart De Wever","NPP"
"8","Quale persona è il sindaco di Anversa?","select  ?o    {    <http://dbpedia.org/resource/Antwerp> <http://dbpedia.org/ontology/mayor>  ?o    }","http://dbpedia.org/resource/Bart_De_Wever","Bart De Wever","NPP"
"9","il sindaco di Anversa","select  ?o    {    <http://dbpedia.org/resource/Antwerp> <http://dbpedia.org/ontology/mayor>  ?o    }","http://dbpedia.org/resource/Bart_De_Wever","Bart De Wever","NPP"
"10","Chi era il sindaco di Artà?","select  ?o    {    <http://dbpedia.org/resource/Arta,_Greece> <http://dbpedia.org/ontology/mayor>  ?o    }","http://dbpedia.org/resource/New_Democracy","Nuova democrazia (maoismo)","NPP"
"11","Chi è il sindaco di Artà?","select  ?o    {    <http://dbpedia.org/resource/Arta,_Greece> <http://dbpedia.org/ontology/mayor>  ?o    }","http://dbpedia.org/resource/New_Democracy","Nuova democrazia (maoismo)","NPP"
"12","Quale persona era il sindaco di Artà?","select  ?o    {    <http://dbpedia.org/resource/Arta,_Greece> <http://dbpedia.org/ontology/mayor>  ?o    }","http://dbpedia.org/resource/New_Democracy","Nuova democrazia (maoismo)","NPP"
"13","Quale persona è il sindaco di Artà?","select  ?o    {    <http://dbpedia.org/resource/Arta,_Greece> <http://dbpedia.org/ontology/mayor>  ?o    }","http://dbpedia.org/resource/New_Democracy","Nuova democrazia (maoismo)","NPP"
"14","il sindaco di Artà","select  ?o    {    <http://dbpedia.org/resource/Arta,_Greece> <http://dbpedia.org/ontology/mayor>  ?o    }","http://dbpedia.org/resource/New_Democracy","Nuova democrazia (maoismo)","NPP"
"15","Chi era il sindaco di Dendermonde?","select  ?o    {    <http://dbpedia.org/resource/Dendermonde> <http://dbpedia.org/ontology/mayor>  ?o    }","http://dbpedia.org/resource/New_Flemish_Alliance","Nuova Alleanza Fiamminga","NPP"
"16","Chi è il sindaco di Dendermonde?","select  ?o    {    <http://dbpedia.org/resource/Dendermonde> <http://dbpedia.org/ontology/mayor>  ?o    }","http://dbpedia.org/resource/New_Flemish_Alliance","Nuova Alleanza Fiamminga","NPP"
"17","Quale persona era il sindaco di Dendermonde?","select  ?o    {    <http://dbpedia.org/resource/Dendermonde> <http://dbpedia.org/ontology/mayor>  ?o    }","http://dbpedia.org/resource/New_Flemish_Alliance","Nuova Alleanza Fiamminga","NPP"
"18","Quale persona è il sindaco di Dendermonde?","select  ?o    {    <http://dbpedia.org/resource/Dendermonde> <http://dbpedia.org/ontology/mayor>  ?o    }","http://dbpedia.org/resource/New_Flemish_Alliance","Nuova Alleanza Fiamminga","NPP"
"19","il sindaco di Dendermonde","select  ?o    {    <http://dbpedia.org/resource/Dendermonde> <http://dbpedia.org/ontology/mayor>  ?o    }","http://dbpedia.org/resource/New_Flemish_Alliance","Nuova Alleanza Fiamminga","NPP"
"20","Chi era il sindaco di Eupen?","select  ?o    {    <http://dbpedia.org/resource/Eupen> <http://dbpedia.org/ontology/mayor>  ?o    }","http://dbpedia.org/resource/Ecolo","Ecolo","NPP"
"21","Chi è il sindaco di Eupen?","select  ?o    {    <http://dbpedia.org/resource/Eupen> <http://dbpedia.org/ontology/mayor>  ?o    }","http://dbpedia.org/resource/Ecolo","Ecolo","NPP"
"22","Quale persona era il sindaco di Eupen?","select  ?o    {    <http://dbpedia.org/resource/Eupen> <http://dbpedia.org/ontology/mayor>  ?o    }","http://dbpedia.org/resource/Ecolo","Ecolo","NPP"
"23","Quale persona è il sindaco di Eupen?","select  ?o    {    <http://dbpedia.org/resource/Eupen> <http://dbpedia.org/ontology/mayor>  ?o    }","http://dbpedia.org/resource/Ecolo","Ecolo","NPP"
"24","il sindaco di Eupen","select  ?o    {    <http://dbpedia.org/resource/Eupen> <http://dbpedia.org/ontology/mayor>  ?o    }","http://dbpedia.org/resource/Ecolo","Ecolo","NPP"
"25","Chi era il sindaco di Amarousio?","select  ?o    {    <http://dbpedia.org/resource/Marousi> <http://dbpedia.org/ontology/mayor>  ?o    }","http://dbpedia.org/resource/New_Democracy_(Greece)","Nuova Democrazia","NPP"
"26","Chi è il sindaco di Amarousio?","select  ?o    {    <http://dbpedia.org/resource/Marousi> <http://dbpedia.org/ontology/mayor>  ?o    }","http://dbpedia.org/resource/New_Democracy_(Greece)","Nuova Democrazia","NPP"
"27","Quale persona era il sindaco di Amarousio?","select  ?o    {    <http://dbpedia.org/resource/Marousi> <http://dbpedia.org/ontology/mayor>  ?o    }","http://dbpedia.org/resource/New_Democracy_(Greece)","Nuova Democrazia","NPP"
"28","Quale persona è il sindaco di Amarousio?","select  ?o    {    <http://dbpedia.org/resource/Marousi> <http://dbpedia.org/ontology/mayor>  ?o    }","http://dbpedia.org/resource/New_Democracy_(Greece)","Nuova Democrazia","NPP"
"29","il sindaco di Amarousio","select  ?o    {    <http://dbpedia.org/resource/Marousi> <http://dbpedia.org/ontology/mayor>  ?o    }","http://dbpedia.org/resource/New_Democracy_(Greece)","Nuova Democrazia","NPP"
