id,question,sparql,answer_rdf,answer,frame
0,Chi ha dipinto il Bam Thwok,select  ?o    {    <http://dbpedia.org/resource/Bam_Thwok> <http://dbpedia.org/ontology/artist>  ?o    },http://dbpedia.org/resource/Pixies_(band),Pixies,VP
1,Quale persona ha dipinto il Bam Thwok,select  ?o    {    <http://dbpedia.org/resource/Bam_Thwok> <http://dbpedia.org/ontology/artist>  ?o    },http://dbpedia.org/resource/Pixies_(band),Pixies,VP
2,Chi ha dipinto il Band on the Run singolo,select  ?o    {    <http://dbpedia.org/resource/Band_on_the_Run_(song)> <http://dbpedia.org/ontology/artist>  ?o    },http://dbpedia.org/resource/Paul_McCartney_and_Wings,Wings (gruppo musicale),VP
3,Quale persona ha dipinto il Band on the Run singolo,select  ?o    {    <http://dbpedia.org/resource/Band_on_the_Run_(song)> <http://dbpedia.org/ontology/artist>  ?o    },http://dbpedia.org/resource/Paul_McCartney_and_Wings,Wings (gruppo musicale),VP
4,Chi ha dipinto il Bandz a Make Her Dance,select  ?o    {    <http://dbpedia.org/resource/Bandz_a_Make_Her_Dance> <http://dbpedia.org/ontology/artist>  ?o    },http://dbpedia.org/resource/2_Chainz,2 Chainz,VP
5,Quale persona ha dipinto il Bandz a Make Her Dance,select  ?o    {    <http://dbpedia.org/resource/Bandz_a_Make_Her_Dance> <http://dbpedia.org/ontology/artist>  ?o    },http://dbpedia.org/resource/2_Chainz,2 Chainz,VP
6,Chi ha dipinto il Bang Blur,select  ?o    {    <http://dbpedia.org/resource/Bang_(Blur_song)> <http://dbpedia.org/ontology/artist>  ?o    },http://dbpedia.org/resource/Blur_(band),Blur,VP
7,Quale persona ha dipinto il Bang Blur,select  ?o    {    <http://dbpedia.org/resource/Bang_(Blur_song)> <http://dbpedia.org/ontology/artist>  ?o    },http://dbpedia.org/resource/Blur_(band),Blur,VP
8,Chi ha dipinto il Bang Bang My Baby Shot Me Down,select  ?o    {    <http://dbpedia.org/resource/Bang_Bang_(My_Baby_Shot_Me_Down)> <http://dbpedia.org/ontology/artist>  ?o    },http://dbpedia.org/resource/Cher,Cher,VP
9,Quale persona ha dipinto il Bang Bang My Baby Shot Me Down,select  ?o    {    <http://dbpedia.org/resource/Bang_Bang_(My_Baby_Shot_Me_Down)> <http://dbpedia.org/ontology/artist>  ?o    },http://dbpedia.org/resource/Cher,Cher,VP
10,Chi ha dipinto il Bang a Drum,select  ?o    {    <http://dbpedia.org/resource/Bang_a_Drum> <http://dbpedia.org/ontology/artist>  ?o    },http://dbpedia.org/resource/Jon_Bon_Jovi,Jon Bon Jovi,VP
11,Quale persona ha dipinto il Bang a Drum,select  ?o    {    <http://dbpedia.org/resource/Bang_a_Drum> <http://dbpedia.org/ontology/artist>  ?o    },http://dbpedia.org/resource/Jon_Bon_Jovi,Jon Bon Jovi,VP
12,Chi ha dipinto il Bang and Blame,select  ?o    {    <http://dbpedia.org/resource/Bang_and_Blame> <http://dbpedia.org/ontology/artist>  ?o    },http://dbpedia.org/resource/R.E.M.,R.E.M. (gruppo musicale),VP
13,Quale persona ha dipinto il Bang and Blame,select  ?o    {    <http://dbpedia.org/resource/Bang_and_Blame> <http://dbpedia.org/ontology/artist>  ?o    },http://dbpedia.org/resource/R.E.M.,R.E.M. (gruppo musicale),VP
14,Chi ha dipinto il Bangarang singolo,select  ?o    {    <http://dbpedia.org/resource/Bangarang> <http://dbpedia.org/ontology/artist>  ?o    },http://dbpedia.org/resource/Skrillex,Skrillex,VP
15,Quale persona ha dipinto il Bangarang singolo,select  ?o    {    <http://dbpedia.org/resource/Bangarang> <http://dbpedia.org/ontology/artist>  ?o    },http://dbpedia.org/resource/Skrillex,Skrillex,VP
16,Chi ha dipinto il Bankrobber,select  ?o    {    <http://dbpedia.org/resource/Bankrobber> <http://dbpedia.org/ontology/artist>  ?o    },http://dbpedia.org/resource/The_Clash,The Clash,VP
17,Quale persona ha dipinto il Bankrobber,select  ?o    {    <http://dbpedia.org/resource/Bankrobber> <http://dbpedia.org/ontology/artist>  ?o    },http://dbpedia.org/resource/The_Clash,The Clash,VP
18,Chi ha dipinto il Banquet,select  ?o    {    <http://dbpedia.org/resource/Banquet_(song)> <http://dbpedia.org/ontology/artist>  ?o    },http://dbpedia.org/resource/Bloc_Party,Bloc Party,VP
19,Quale persona ha dipinto il Banquet,select  ?o    {    <http://dbpedia.org/resource/Banquet_(song)> <http://dbpedia.org/ontology/artist>  ?o    },http://dbpedia.org/resource/Bloc_Party,Bloc Party,VP
20,Chi ha dipinto il Barbara Ann,select  ?o    {    <http://dbpedia.org/resource/Barbara_Ann> <http://dbpedia.org/ontology/artist>  ?o    },http://dbpedia.org/resource/The_Regents_(doo-wop_band),,VP
21,Quale persona ha dipinto il Barbara Ann,select  ?o    {    <http://dbpedia.org/resource/Barbara_Ann> <http://dbpedia.org/ontology/artist>  ?o    },http://dbpedia.org/resource/The_Regents_(doo-wop_band),,VP
22,Chi ha dipinto il Barbie Girl,select  ?o    {    <http://dbpedia.org/resource/Barbie_Girl> <http://dbpedia.org/ontology/artist>  ?o    },http://dbpedia.org/resource/Kelly_Key,Kelly Key,VP
23,Quale persona ha dipinto il Barbie Girl,select  ?o    {    <http://dbpedia.org/resource/Barbie_Girl> <http://dbpedia.org/ontology/artist>  ?o    },http://dbpedia.org/resource/Kelly_Key,Kelly Key,VP
24,Chi ha dipinto il Barbra Streisand singolo,select  ?o    {    <http://dbpedia.org/resource/Barbra_Streisand_(song)> <http://dbpedia.org/ontology/artist>  ?o    },http://dbpedia.org/resource/Duck_Sauce,Duck Sauce,VP
25,Quale persona ha dipinto il Barbra Streisand singolo,select  ?o    {    <http://dbpedia.org/resource/Barbra_Streisand_(song)> <http://dbpedia.org/ontology/artist>  ?o    },http://dbpedia.org/resource/Duck_Sauce,Duck Sauce,VP
26,Chi ha dipinto il Barcelona singolo,select  ?o    {    <http://dbpedia.org/resource/Barcelona_(Freddie_Mercury_and_Montserrat_Caballé_song)> <http://dbpedia.org/ontology/artist>  ?o    },http://dbpedia.org/resource/Freddie_Mercury,Freddie Mercury,VP
27,Quale persona ha dipinto il Barcelona singolo,select  ?o    {    <http://dbpedia.org/resource/Barcelona_(Freddie_Mercury_and_Montserrat_Caballé_song)> <http://dbpedia.org/ontology/artist>  ?o    },http://dbpedia.org/resource/Freddie_Mercury,Freddie Mercury,VP
28,Chi ha dipinto il BareNaked singolo,select  ?o    {    <http://dbpedia.org/resource/BareNaked_(song)> <http://dbpedia.org/ontology/artist>  ?o    },http://dbpedia.org/resource/Jennifer_Love_Hewitt,Jennifer Love Hewitt,VP
29,Quale persona ha dipinto il BareNaked singolo,select  ?o    {    <http://dbpedia.org/resource/BareNaked_(song)> <http://dbpedia.org/ontology/artist>  ?o    },http://dbpedia.org/resource/Jennifer_Love_Hewitt,Jennifer Love Hewitt,VP
30,Chi ha dipinto il Barely Breathing,select  ?o    {    <http://dbpedia.org/resource/Barely_Breathing> <http://dbpedia.org/ontology/artist>  ?o    },http://dbpedia.org/resource/Duncan_Sheik,Duncan Sheik,VP
31,Quale persona ha dipinto il Barely Breathing,select  ?o    {    <http://dbpedia.org/resource/Barely_Breathing> <http://dbpedia.org/ontology/artist>  ?o    },http://dbpedia.org/resource/Duncan_Sheik,Duncan Sheik,VP
32,Chi ha dipinto il Barracuda Heart,select  ?o    {    <http://dbpedia.org/resource/Barracuda_(song)> <http://dbpedia.org/ontology/artist>  ?o    },http://dbpedia.org/resource/Heart_(band),Heart (gruppo musicale),VP
33,Quale persona ha dipinto il Barracuda Heart,select  ?o    {    <http://dbpedia.org/resource/Barracuda_(song)> <http://dbpedia.org/ontology/artist>  ?o    },http://dbpedia.org/resource/Heart_(band),Heart (gruppo musicale),VP
34,Chi ha dipinto il Barrel of a Gun,select  ?o    {    <http://dbpedia.org/resource/Barrel_of_a_Gun_(Depeche_Mode_song)> <http://dbpedia.org/ontology/artist>  ?o    },http://dbpedia.org/resource/Depeche_Mode,Depeche Mode,VP
