LemonEntry,partOfSpeech,writtenFormInfinitive/2ndPerson,writtenForm3rdPerson,writtenFormPast,preposition,SyntacticFrame,subject,prepositionalAdjunct,sense,reference,domain,range
flow_through,verb,passare,passa,passava,attraverso,IntransitivePPFrame,domain,range,1,dbo:country,dbo:River,dbo:Country
grow_in,verb,crescere,cresce,cresceva,nel,IntransitivePPFrame,range,domain,1,dbo:growingGrape,dbo:WineRegion,dbo:Grape
starr_in,verb,recitare,recita,ha recitato,in,IntransitivePPFrame,domain,range,1,dbo:starring,dbo:Film,dbo:Actor
begin_at,verb,partire,parte,partiva,da,IntransitivePPFrame,domain,range,1,dbp:source1Location,dbo:River,dbo:Country
flow_into,verb,confluire,confluisce,confluiva,nel,IntransitivePPFrame,range,domain,1,dbo:inflow,dbo:BodyOfWater,dbo:BodyOfWater
draft_in,verb,arruolare,arruola,arruolato,nel,IntransitivePPFrame,domain,range,1,dbo:draftYear,dbo:AmericanFootballPlayer,xsd:gYear
complete_in,verb,completare,completa,completato,nel,IntransitivePPFrame,domain,range,1,dbo:buildingEndDate,dbo:ArchitecturalStructure,xsd:gYear
build_in,verb,costruire,costruisce,costruito,nel,IntransitivePPFrame,domain,range,1,dbo:buildingStartDate,dbo:ArchitecturalStructure,xsd:gYear
inaugurate_in,verb,inaugurare,inaugura,inaugurata,nel,IntransitivePPFrame,domain,range,1,dbo:openingDate,dbo:ArchitecturalStructure,xsd:gYear
founded_on,verb,fondare,fonda,fondato,nel,IntransitivePPFrame,domain,range,1,dbo:foundingDate,dbo:Organisation,xsd:date
founded_in,verb,fondare,fonda,fondato,nel,IntransitivePPFrame,domain,range,2,dbo:foundingYear,dbo:Organisation,xsd:gYear
released_on,verb,uscire,esce,uscito,il,IntransitivePPFrame,domain,range,1,dbo:releaseDate,dbo:TelevisionShow,xsd:date
published_on,verb,pubblicare,pubblica,pubblicato,il,IntransitivePPFrame,domain,range,1,dbp:published,dbo:Song,xsd:date
published_in,verb,pubblicare,pubblica,pubblicato,il,IntransitivePPFrame,domain,range,1,dbp:published,dbo:Song,xsd:gYear
dissolve_on,verb,sciogliere,scioglie,sciolta,il,IntransitivePPFrame,domain,range,1,dbo:dissolutionDate,dbo:PopulatedPlace,xsd:date
dissolve_in,verb,sciogliere,scioglie,sciolta,il,IntransitivePPFrame,domain,range,1,dbo:dissolutionDate,dbo:PopulatedPlace,xsd:gYear
destroy_on,verb,dsitruggere,distrugge,distrutto,nel,IntransitivePPFrame,domain,range,1,dbo:demolitionDate,dbo:ArchitecturalStructure,xsd:date
destroy_in,verb,dsitruggere,distrugge,distrutto,nel,IntransitivePPFrame,domain,range,2,dbo:demolitionDate,dbo:ArchitecturalStructure,xsd:gYear
rebuild_on,verb,ricostruire,riscostruisce,ricostruito,nel,IntransitivePPFrame,domain,range,1,dbo:rebuildingDate,dbo:ArchitecturalStructure,xsd:date
rebuild_in,verb,ricostruire,riscostruisce,ricostruito,nel,IntransitivePPFrame,domain,range,1,dbo:rebuildingDate,dbo:ArchitecturalStructure,xsd:gYear
reopen_on,verb,riaprire,riapre,riaperto,nel,IntransitivePPFrame,domain,range,1,dbo:reopeningDate,dbo:ArchitecturalStructure,xsd:date
reopen_in,verb,riaprire,riapre,riaperto,nel,IntransitivePPFrame,domain,range,1,dbo:reopeningDate,dbo:ArchitecturalStructure,xsd:gYear
discontinue_on,verb,interrompere,interrompe,interrotto,nel,IntransitivePPFrame,domain,range,1,dbo:discontinued,dbo:Beverage,xsd:date
discontinue_in,verb,interrompere,interrompe,interrotto,nel,IntransitivePPFrame,domain,range,1,dbo:discontinued,dbo:Beverage,xsd:gYear
introduced_on,verb,introdurre,introduce,introdotto,nel,IntransitivePPFrame,domain,range,1,dbo:introduced,dbo:Beverage,xsd:date
