LemonEntry,partOfSpeech,writtenFormInfinitive,writtenFormThridPerson,writtenFormPast,writtenFormPerfect,preposition,SyntacticFrame,subject,prepositionalAdjunct,sense,reference,domain,range,domainArticle,domainWrittenSingular,domainWrittenPlural,rangeArticle,rangeWrittenSingular,rangeWrittenPlural
Stattfinden_1,TrennVerb,stattfinden,findet statt,fand statt,stattgefunden,am,IntransitivePPFrame,domain,range,1,dbp:date,dbo:Event,xsd:date,feminine,Veranstaltung,Veranstaltungen,neuter,Date,Dates
kosten_1,verb,kosten,kostet,kostete,gekostet,X,IntransitivePPFrame,domain,range,1,dbo:budget,dbo:Film,dbo:Person,masculine,Film,Filme,masculine,Person,Personen
durchfhren_1,TrennVerb,durchfhren,fhrt durch,fhrte durch,durchgefhrt,von,IntransitivePPFrame,domain,range,1,dbo:date,dbo:Event,xsd:date,feminine,Veranstaltung,Veranstaltungen,neuter,Date,Dates
aufh”ren_1,TrennVerb,aufh”ren,h”rt auf,h”rte auf,aufgeh”rt,in,IntransitivePPFrame,domain,range,1,dbo:routeEnd,dbo:Road,dbo:Location,feminine,Straáe,Straáen,feminine,Stadt,Stadte
storben_1,verb,sterben,stirbt,starb,ist gestorben,in,IntransitivePPFrame,domain,range,1,dbo:deathCause,dbo:Person,xsd:string,feminine,Person,Personen,feminine,Ursache,Ursachen
flieáen_1,verb,flieáen,flieát,floss,geflossen,durch,IntransitivePPFrame,domain,range,1,dbo:country,dbo:River,dbo:Country,masculine,Fluss,Flsse,neuter,Land,L„nder
šberspannen_1,verb,berspannen,berspannt,berspannte,berspannt,in,IntransitivePPFrame,domain,range,1,dbo:crosses,dbo:Bridge,dbo:BodyOfWater,feminine,Brcke,Brcken,masculine,Fluss,Fluss
nennen_1,veb,nennen,nennt,nante,genannt,X,IntransitivePPFrame,domain,range,1,dbp:nickname,dbo:Person,xsd:string,masculine,Person,Personen,masculine,Name,Namen
kosten_1,verb,kosten,kostet,kostete,gekostet,von,IntransitivePPFrame,domain,range,1,dbo:budget,dbo:Film,xsd:double,masculine,Film,Filme,feminine,Zahl,Zahlen
anfangen_1,verb,anfangen,f„ngt an,fing an,angefangen,von,IntransitivePPFrame,domain,range,1,dbo:routeStart,dbo:City,dbo:Road,feminine,Stadt,Stadte,feminine,Strasse,Strassen
sprechen_1,verb,sprechen,spricht,sprach,gesprochen,in,IntransitivePPFrame,domain,range,1,dbo:language,dbo:Country,dbo:Language,neuter,Land,L„nder,feminine,Sprache,Sprachen
entspringen_1,veb,entspringen,entspringt,entsprang,entsprungen,in,IntransitivePPFrame,domain,range,1,dbo:sourceCountry,dbo:River,dbo:Country,masculine,Fluss,Flsse,neuter,Land,L„nder
geboren_in_1,verb,geb„ren,geb„rt,gebar,geboren,in,IntransitivePPFrame,domain,range,1,dbo:birthYear,dbo:Person,xsd:gYear,masculine,Person,Personen,neuter,Jahr,Jahren
geborn_on_1,verb,geb„ren,geb„rt,gebar,geboren,auf,IntransitivePPFrame,domain,range,1,dbo:birthPlace,dbo:Person,dbo:Place,masculine,Person,Personen,neuter,Ort,™rter
