LemonEntry,partOfSpeech,writtenForm (singular),writtenForm (plural),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference,domain,range,domainWrittenSingularForm,domainWrittenPluralForm,rangeWrittenSingularForm,rangeWrittenPluralFormIndex
height_of_1,noun,height,-,of,NounPPFrame,range,domain,1,dbo:height,dbo:Model,xsd:double,model,models,-,-
height_of_2,noun,height,-,of,NounPPFrame,range,domain,1,dbo:height,dbo:Tower,xsd:double,tower,towers,-,-
height_of_3,noun,height,-,of,NounPPFrame,range,domain,1,dbo:height,dbo:BasketballPlayer,xsd:double,basketball player,basketball player,-,-
cost-of,noun,cost,costs,of,NounPPFrame,range,domain,1,dbo:budget,dbo:Film,xsd:double,film,films,-,-
population-of,noun,population,-,of,NounPPFrame,range,domain,1,dbo:populationTotal,dbo:PopulatedPlace,xsd:nonNegativeInteger,populated place,populated places,-,-
causeOfDeath_of,noun,cause of death,causes of death,of,NounPPFrame,range,domain,1,dbo:deathCause,dbo:Person,xsd:String,person,persons,reason,reasons
seating_capacity_of,noun,seating capacity,-,of,NounPPFrame,range,domain,1,dbo:seatingCapacity,dbo:SoccerClub,xsd:nonNegativeInteger,soccer club,soccer clubs,-,-
birthYear_of,noun,birth year,-,of,NounPPFrame,range,domain,1,dbo:birthYear,dbo:Person,xsd:gYear,person,persons,year,-
ingredient_of,noun,ingredient,ingredients,of,NounPPFrame,range,domain,1,dbo:ingredient,dbo:Food,owl:Thing,food,foods,thing,things
dissolutionDate_of,noun,dissolution date,-,of,NounPPFrame,range,domain,1,dbo:dissolutionDate,dbo:AdministrativeRegion,xsd:date,administrative region,administrative regions,-,-
firstSeason_of,noun,first season,first seasons,of,NounPPFrame,range,domain,1,dbo:seasonNumber,dbo:TelevisionShow,xsd:nonNegativeInteger,television show,television shows,-,-
number_of,noun,number of locations,-,of,NounPPFrame,range,domain,1,dbo:numberOfLocations,dbo:Company,xsd:nonNegativeInteger,company,companies,-,-
DeathDate-of_1,noun,death date,-,of,NounPPFrame,range,domain,1,dbo:deathDate,dbo:Person,xsd:date,person,persons,-,-
recordLabel_of,noun,record label,record labels,of,NounPPFrame,range,domain,1,dbo:RecordLabel,dbo:Genre,xsd:string,genre,genres,-,-
completionDate-of,noun,completion date,-,of,NounPPFrame,range,domain,1,dbo:completionDate,dbo:Ship,xsd:date,ship,ships,-,-
numberOfPages-of,noun,number of pages,-,of,NounPPFrame,range,domain,1,dbo:numberOfPages,dbo:WrittenWork,xsd:positiveInteger,written work,written works,-,-
timeZone-of,noun,time zone,time zones,of,NounPPFrame,range,domain,1,dbo:timeZone,dbo:City,xsd:string,city,cities,-,-
areaCode_of,noun,area code,-,of,NounPPFrame,range,domain,1,dbo:areaCode,dbo:City,xsd:string,city,cities,-,-
nickname_of,noun,nickname,nicknames,of,NounPPFrame,range,domain,1,dbp:nickname,dbo:City,xsd:string,city,cities,-,-
party-of,noun,party,parties,of,NounPPFrame,range,domain,1,dbo:party,dbo:Politician,xsd:string,politician,politicians,-,-
President-of,noun,president,-,of,NounPPFrame,range,domain,1,dbo:office,dbo:Country,xsd:string,country,countries,-,-
elevation-of,noun,elevation,-,of,NounPPFrame,range,domain,1,dbo:elevation,dbo:Mountain,xsd:double,mountain,mountains,-,-
foundingYear_of,noun,founding year,-,of,NounPPFrame,range,domain,1,dbo:foundingYear,dbo:Company,xsd:gYear,Company,Companies,year,years
restingPlace-of,noun,resting place,-,of,NounPPFrame,range,domain,1,dbo:restingPlace,dbo:Person,xsd:string,Person,Persons,-,-
artisticMovement_of,noun,artistic movement,artistic movements,of,NounPPFrame,range,domain,1,dbo:movement,dbo:Artist,owl:Thing,artist,artists,thing,things
