"id","question","sparql","answer_rdf","answer","frame"
"6090","Qual era la società sussidiaria di Caffè Nero?","select  ?o    {    <http://dbpedia.org/resource/Caffè_Nero> <http://dbpedia.org/ontology/subsidiary>  ?o    }","http://dbpedia.org/resource/Coffee_1","","NPP"
"6090","Qual era la società sussidiaria di Caffè Nero?","select  ?o    {    <http://dbpedia.org/resource/Caffè_Nero> <http://dbpedia.org/ontology/subsidiary>  ?o    }","http://dbpedia.org/resource/Coffee_1","","NPP"
"6091","Qual è la società sussidiaria di Caffè Nero?","select  ?o    {    <http://dbpedia.org/resource/Caffè_Nero> <http://dbpedia.org/ontology/subsidiary>  ?o    }","http://dbpedia.org/resource/Coffee_1","","NPP"
"6092","Qual era la società sussidiaria di Caisse des dépôts et consignations?","select  ?o    {    <http://dbpedia.org/resource/Caisse_des_dépôts_et_consignations> <http://dbpedia.org/ontology/subsidiary>  ?o    }","http://dbpedia.org/resource/Société_nationale_immobilière","","NPP"
"6093","Qual è la società sussidiaria di Caisse des dépôts et consignations?","select  ?o    {    <http://dbpedia.org/resource/Caisse_des_dépôts_et_consignations> <http://dbpedia.org/ontology/subsidiary>  ?o    }","http://dbpedia.org/resource/Société_nationale_immobilière","","NPP"
"6094","Qual era la società sussidiaria di Gruppo Calzedonia?","select  ?o    {    <http://dbpedia.org/resource/Calzedonia> <http://dbpedia.org/ontology/subsidiary>  ?o    }","http://dbpedia.org/resource/Intimissimi","Intimissimi","NPP"
"6095","Qual è la società sussidiaria di Gruppo Calzedonia?","select  ?o    {    <http://dbpedia.org/resource/Calzedonia> <http://dbpedia.org/ontology/subsidiary>  ?o    }","http://dbpedia.org/resource/Intimissimi","Intimissimi","NPP"
"6096","Qual era la società sussidiaria di Cambridge Information Group?","select  ?o    {    <http://dbpedia.org/resource/Cambridge_Information_Group> <http://dbpedia.org/ontology/subsidiary>  ?o    }","http://dbpedia.org/resource/ProQuest","ProQuest LLC","NPP"
"6097","Qual è la società sussidiaria di Cambridge Information Group?","select  ?o    {    <http://dbpedia.org/resource/Cambridge_Information_Group> <http://dbpedia.org/ontology/subsidiary>  ?o    }","http://dbpedia.org/resource/ProQuest","ProQuest LLC","NPP"
"6098","Qual era la società sussidiaria di Campagnolo?","select  ?o    {    <http://dbpedia.org/resource/Campagnolo> <http://dbpedia.org/ontology/subsidiary>  ?o    }","http://dbpedia.org/resource/Fulcrum_Wheels","Fulcrum Wheels","NPP"
"6099","Qual è la società sussidiaria di Campagnolo?","select  ?o    {    <http://dbpedia.org/resource/Campagnolo> <http://dbpedia.org/ontology/subsidiary>  ?o    }","http://dbpedia.org/resource/Fulcrum_Wheels","Fulcrum Wheels","NPP"
"6100","Qual era la società sussidiaria di Campbell's?","select  ?o    {    <http://dbpedia.org/resource/Campbell_Soup_Company> <http://dbpedia.org/ontology/subsidiary>  ?o    }","http://dbpedia.org/resource/Pace_Foods","","NPP"
"6101","Qual è la società sussidiaria di Campbell's?","select  ?o    {    <http://dbpedia.org/resource/Campbell_Soup_Company> <http://dbpedia.org/ontology/subsidiary>  ?o    }","http://dbpedia.org/resource/Pace_Foods","","NPP"
"6102","Qual era la società sussidiaria di Canada Post?","select  ?o    {    <http://dbpedia.org/resource/Canada_Post> <http://dbpedia.org/ontology/subsidiary>  ?o    }","http://dbpedia.org/resource/Purolator_Inc.","","NPP"
"6103","Qual è la società sussidiaria di Canada Post?","select  ?o    {    <http://dbpedia.org/resource/Canada_Post> <http://dbpedia.org/ontology/subsidiary>  ?o    }","http://dbpedia.org/resource/Purolator_Inc.","","NPP"
"6104","Qual era la società sussidiaria di Canadian Pacific Railway?","select  ?o    {    <http://dbpedia.org/resource/Canadian_Pacific_Railway> <http://dbpedia.org/ontology/subsidiary>  ?o    }","http://dbpedia.org/resource/Dakota,_Minnesota_and_Eastern_Railroad","","NPP"
"6105","Qual è la società sussidiaria di Canadian Pacific Railway?","select  ?o    {    <http://dbpedia.org/resource/Canadian_Pacific_Railway> <http://dbpedia.org/ontology/subsidiary>  ?o    }","http://dbpedia.org/resource/Dakota,_Minnesota_and_Eastern_Railroad","","NPP"
"6106","Qual era la società sussidiaria di Canon?","select  ?o    {    <http://dbpedia.org/resource/Canon_Inc.> <http://dbpedia.org/ontology/subsidiary>  ?o    }","http://dbpedia.org/resource/Canon_Production_Printing","","NPP"
"6107","Qual è la società sussidiaria di Canon?","select  ?o    {    <http://dbpedia.org/resource/Canon_Inc.> <http://dbpedia.org/ontology/subsidiary>  ?o    }","http://dbpedia.org/resource/Canon_Production_Printing","","NPP"
"6108","Qual era la società sussidiaria di Canonical?","select  ?o    {    <http://dbpedia.org/resource/Canonical_(company)> <http://dbpedia.org/ontology/subsidiary>  ?o    }","http://dbpedia.org/resource/Canonical_(company)","Canonical","NPP"
"6109","Qual è la società sussidiaria di Canonical?","select  ?o    {    <http://dbpedia.org/resource/Canonical_(company)> <http://dbpedia.org/ontology/subsidiary>  ?o    }","http://dbpedia.org/resource/Canonical_(company)","Canonical","NPP"
"6110","Qual era la società sussidiaria di Capgemini?","select  ?o    {    <http://dbpedia.org/resource/Capgemini> <http://dbpedia.org/ontology/subsidiary>  ?o    }","http://dbpedia.org/resource/Sogeti","","NPP"
"6111","Qual è la società sussidiaria di Capgemini?","select  ?o    {    <http://dbpedia.org/resource/Capgemini> <http://dbpedia.org/ontology/subsidiary>  ?o    }","http://dbpedia.org/resource/Sogeti","","NPP"
"6112","Qual era la società sussidiaria di Caproni?","select  ?o    {    <http://dbpedia.org/resource/Caproni> <http://dbpedia.org/ontology/subsidiary>  ?o    }","http://dbpedia.org/resource/Isotta_Fraschini","Isotta Fraschini","NPP"
"6113","Qual è la società sussidiaria di Caproni?","select  ?o    {    <http://dbpedia.org/resource/Caproni> <http://dbpedia.org/ontology/subsidiary>  ?o    }","http://dbpedia.org/resource/Isotta_Fraschini","Isotta Fraschini","NPP"
"6114","Qual era la società sussidiaria di Arkema?","select  ?o    {    <http://dbpedia.org/resource/Arkema> <http://dbpedia.org/ontology/subsidiary>  ?o    }","http://dbpedia.org/resource/Bostik","Bostik","NPP"
"6115","Qual è la società sussidiaria di Arkema?","select  ?o    {    <http://dbpedia.org/resource/Arkema> <http://dbpedia.org/ontology/subsidiary>  ?o    }","http://dbpedia.org/resource/Bostik","Bostik","NPP"
"6116","Qual era la società sussidiaria di Cinergi Pictures?","select  ?o    {    <http://dbpedia.org/resource/Cinergi_Pictures> <http://dbpedia.org/ontology/subsidiary>  ?o    }","http://dbpedia.org/resource/Manex_Visual_Effects","","NPP"
"6117","Qual è la società sussidiaria di Cinergi Pictures?","select  ?o    {    <http://dbpedia.org/resource/Cinergi_Pictures> <http://dbpedia.org/ontology/subsidiary>  ?o    }","http://dbpedia.org/resource/Manex_Visual_Effects","","NPP"
"6118","Qual era la società sussidiaria di Hemus Air?","select  ?o    {    <http://dbpedia.org/resource/Hemus_Air> <http://dbpedia.org/ontology/subsidiary>  ?o    }","http://dbpedia.org/resource/Viaggio_Air","","NPP"
"6119","Qual è la società sussidiaria di Hemus Air?","select  ?o    {    <http://dbpedia.org/resource/Hemus_Air> <http://dbpedia.org/ontology/subsidiary>  ?o    }","http://dbpedia.org/resource/Viaggio_Air","","NPP"
"6120","Qual era la società sussidiaria di IHS Markit?","select  ?o    {    <http://dbpedia.org/resource/IHS_Markit> <http://dbpedia.org/ontology/subsidiary>  ?o    }","http://dbpedia.org/resource/Global_Insight","","NPP"
"6121","Qual è la società sussidiaria di IHS Markit?","select  ?o    {    <http://dbpedia.org/resource/IHS_Markit> <http://dbpedia.org/ontology/subsidiary>  ?o    }","http://dbpedia.org/resource/Global_Insight","","NPP"
"6122","Qual era la società sussidiaria di ITU-T?","select  ?o    {    <http://dbpedia.org/resource/ITU-T> <http://dbpedia.org/ontology/subsidiary>  ?o    }","http://dbpedia.org/resource/ITU-T_Study_Group_17","","NPP"
"6123","Qual è la società sussidiaria di ITU-T?","select  ?o    {    <http://dbpedia.org/resource/ITU-T> <http://dbpedia.org/ontology/subsidiary>  ?o    }","http://dbpedia.org/resource/ITU-T_Study_Group_17","","NPP"
"6124","Qual era la società sussidiaria di Shuanghuan Auto?","select  ?o    {    <http://dbpedia.org/resource/Shuanghuan_Auto> <http://dbpedia.org/ontology/subsidiary>  ?o    }","http://dbpedia.org/resource/Red_Star_Auto","","NPP"
"6125","Qual è la società sussidiaria di Shuanghuan Auto?","select  ?o    {    <http://dbpedia.org/resource/Shuanghuan_Auto> <http://dbpedia.org/ontology/subsidiary>  ?o    }","http://dbpedia.org/resource/Red_Star_Auto","","NPP"
"6126","Qual era la società sussidiaria di Advance Publications?","select  ?o    {    <http://dbpedia.org/resource/Advance_Publications> <http://dbpedia.org/ontology/subsidiary>  ?o    }","http://dbpedia.org/resource/American_City_Business_Journals","","NPP"
"6127","Qual è la società sussidiaria di Advance Publications?","select  ?o    {    <http://dbpedia.org/resource/Advance_Publications> <http://dbpedia.org/ontology/subsidiary>  ?o    }","http://dbpedia.org/resource/American_City_Business_Journals","","NPP"
"6128","Qual era la società sussidiaria di Adventure International?","select  ?o    {    <http://dbpedia.org/resource/Adventure_International> <http://dbpedia.org/ontology/subsidiary>  ?o    }","http://dbpedia.org/resource/Adventure_Soft","Adventure Soft","NPP"
"6129","Qual è la società sussidiaria di Adventure International?","select  ?o    {    <http://dbpedia.org/resource/Adventure_International> <http://dbpedia.org/ontology/subsidiary>  ?o    }","http://dbpedia.org/resource/Adventure_Soft","Adventure Soft","NPP"
"6130","Qual era la società sussidiaria di Aegean Airlines?","select  ?o    {    <http://dbpedia.org/resource/Aegean_Airlines> <http://dbpedia.org/ontology/subsidiary>  ?o    }","http://dbpedia.org/resource/Olympic_Air","Olympic Air","NPP"
"6131","Qual è la società sussidiaria di Aegean Airlines?","select  ?o    {    <http://dbpedia.org/resource/Aegean_Airlines> <http://dbpedia.org/ontology/subsidiary>  ?o    }","http://dbpedia.org/resource/Olympic_Air","Olympic Air","NPP"
"6132","Qual era la società sussidiaria di Aegon?","select  ?o    {    <http://dbpedia.org/resource/Aegon_N.V.> <http://dbpedia.org/ontology/subsidiary>  ?o    }","http://dbpedia.org/resource/Transamerica_Corporation","","NPP"
"6133","Qual è la società sussidiaria di Aegon?","select  ?o    {    <http://dbpedia.org/resource/Aegon_N.V.> <http://dbpedia.org/ontology/subsidiary>  ?o    }","http://dbpedia.org/resource/Transamerica_Corporation","","NPP"
"6134","Qual era la società sussidiaria di Aer Lingus?","select  ?o    {    <http://dbpedia.org/resource/Aer_Lingus> <http://dbpedia.org/ontology/subsidiary>  ?o    }","http://dbpedia.org/resource/Aer_Lingus_UK","","NPP"
"6135","Qual è la società sussidiaria di Aer Lingus?","select  ?o    {    <http://dbpedia.org/resource/Aer_Lingus> <http://dbpedia.org/ontology/subsidiary>  ?o    }","http://dbpedia.org/resource/Aer_Lingus_UK","","NPP"
"6136","Qual era la società sussidiaria di Aero Vodochody?","select  ?o    {    <http://dbpedia.org/resource/Aero_Vodochody> <http://dbpedia.org/ontology/subsidiary>  ?o    }","http://dbpedia.org/resource/Aero_(automobile)","","NPP"
"6137","Qual è la società sussidiaria di Aero Vodochody?","select  ?o    {    <http://dbpedia.org/resource/Aero_Vodochody> <http://dbpedia.org/ontology/subsidiary>  ?o    }","http://dbpedia.org/resource/Aero_(automobile)","","NPP"
"6138","Qual era la società sussidiaria di Aeroflot?","select  ?o    {    <http://dbpedia.org/resource/Aeroflot> <http://dbpedia.org/ontology/subsidiary>  ?o    }","http://dbpedia.org/resource/Rossiya_Airlines","Rossija Airlines","NPP"
"6139","Qual è la società sussidiaria di Aeroflot?","select  ?o    {    <http://dbpedia.org/resource/Aeroflot> <http://dbpedia.org/ontology/subsidiary>  ?o    }","http://dbpedia.org/resource/Rossiya_Airlines","Rossija Airlines","NPP"
"6140","Qual era la società sussidiaria di Aeroméxico?","select  ?o    {    <http://dbpedia.org/resource/Aeroméxico> <http://dbpedia.org/ontology/subsidiary>  ?o    }","http://dbpedia.org/resource/Aeroméxico_Contigo","","NPP"
"6141","Qual è la società sussidiaria di Aeroméxico?","select  ?o    {    <http://dbpedia.org/resource/Aeroméxico> <http://dbpedia.org/ontology/subsidiary>  ?o    }","http://dbpedia.org/resource/Aeroméxico_Contigo","","NPP"
