"lexicalEntry","numberOfGrammarRules","numberOfQuestions","frameType","numberOfQuestions","numberOfQuestions"
"http://localhost:8080#aired","2","30197","APP","Success","-"
"http://localhost:8080#breeded","2","18965","APP","Success","-"
"http://localhost:8080#composeed","2","31587","APP","Success","-"
"http://localhost:8080#controled","2","38108","APP","Failed","binding list is empty"
"http://localhost:8080#covered","2","26820","APP","Success","-"
"http://localhost:8080#createed","2","16900","APP","Success","-"
"http://localhost:8080#crossed","2","23082","APP","Success","-"
"http://localhost:8080#designed","2","22387","APP","Success","-"
"http://localhost:8080#developed","2","33995","APP","Success","-"
"http://localhost:8080#directed","2","29537","APP","Success","-"
"http://localhost:8080#discovered","2","25147","APP","Success","-"
"http://localhost:8080#distributeed","2","38106","APP","Success","-"
"http://localhost:8080#drained","2","18270","APP","Success","-"
"http://localhost:8080#edited","2","15525","APP","Success","-"
"http://localhost:8080#exhibited","2","39490","APP","Success","-"
"http://localhost:8080#followed","2","26525","APP","Failed","binding list is empty"
"http://localhost:8080#founded","2","30892","APP","Success","-"
"http://localhost:8080#illustrateed","2","27494","APP","Success","-"
"http://localhost:8080#joined","2","21720","APP","Success","-"
"http://localhost:8080#leaded","2","36751","APP","Failed","binding list is empty"
"http://localhost:8080#leaveed","2","38804","APP","Success","-"
"http://localhost:8080#maintained","2","17582","APP","Success","-"
"http://localhost:8080#manageed","2","28189","APP","Success","-"
"http://localhost:8080#marryed","2","35364","APP","Success","-"
"http://localhost:8080#operateed","2","26527","APP","Failed","binding list is empty"
"http://localhost:8080#owned","2","37432","APP","Success","-"
"http://localhost:8080#painted","2","33300","APP","Success","-"
"http://localhost:8080#performed","2","34670","APP","Success","-"
"http://localhost:8080#played","2","36059","APP","Success","-"
"http://localhost:8080#precedeed","2","38110","APP","Failed","binding list is empty"
"http://localhost:8080#presented","2","20342","APP","Success","-"
"http://localhost:8080#produceed","2","23777","APP","Success","-"
"http://localhost:8080#programed","2","36749","APP","Failed","binding list is empty"
"http://localhost:8080#published","2","28843","APP","Success","-"
"http://localhost:8080#rented","2","16219","APP","Success","-"
"http://localhost:8080#serveed","2","32620","APP","Success","-"
"http://localhost:8080#speaked","2","19654","APP","Success","-"
"http://localhost:8080#stared","2","36747","APP","Success","-"
"http://localhost:8080#succeeded","2","31925","APP","Success","-"
"http://localhost:8080#supported","2","24472","APP","Success","-"
"http://localhost:8080#to_air","1","11747","VP","Success","-"
"http://localhost:8080#to_breed","1","8683","VP","Success","-"
"http://localhost:8080#to_compose","1","9437","VP","Success","-"
"http://localhost:8080#to_control","1","374","VP","Failed","binding list is empty"
"http://localhost:8080#to_cover","1","12530","VP","Success","-"
"http://localhost:8080#to_create","2","8346","VP","Success","-"
"http://localhost:8080#to_cross","1","7572","VP","Success","-"
"http://localhost:8080#to_design","1","6425","VP","Success","-"
"http://localhost:8080#to_develop","1","373","VP","Success","-"
"http://localhost:8080#to_direct","1","14837","VP","Success","-"
"http://localhost:8080#to_discover","1","10183","VP","Success","-"
"http://localhost:8080#to_distribute","1","12927","VP","Success","-"
"http://localhost:8080#to_drain","1","13682","VP","Success","-"
"http://localhost:8080#to_edit","1","4160","VP","Success","-"
"http://localhost:8080#to_exhibit","1","13325","VP","Success","-"
"http://localhost:8080#to_follow","1","4554","VP","Failed","binding list is empty"
"http://localhost:8080#to_found","1","9048","VP","Success","-"
"http://localhost:8080#to_illustrate","1","3482","VP","Success","-"
"http://localhost:8080#to_join","1","1160","VP","Success","-"
"http://localhost:8080#to_lead","1","4555","VP","Failed","binding list is empty"
"http://localhost:8080#to_leave","1","4908","VP","Success","-"
"http://localhost:8080#to_maintain","1","2339","VP","Success","-"
"http://localhost:8080#to_manage","1","9814","VP","Success","-"
"http://localhost:8080#to_marry","1","7187","VP","Success","-"
"http://localhost:8080#to_operate","2","12137","VP","Failed","binding list is empty"
"http://localhost:8080#to_own","1","1942","VP","Success","-"
"http://localhost:8080#to_paint","1","10953","VP","Success","-"
"http://localhost:8080#to_perform","1","4553","VP","Success","-"
"http://localhost:8080#to_play","1","2728","VP","Success","-"
"http://localhost:8080#to_precede","1","12928","VP","Failed","binding list is empty"
"http://localhost:8080#to_present","1","3875","VP","Success","-"
"http://localhost:8080#to_produce","1","6798","VP","Success","-"
"http://localhost:8080#to_program","1","6048","VP","Failed","binding list is empty"
"http://localhost:8080#to_publish","1","767","VP","Success","-"
"http://localhost:8080#to_rent","1","14444","VP","Success","-"
"http://localhost:8080#to_serve","1","3125","VP","Success","-"
"http://localhost:8080#to_speak","1","5662","VP","Success","-"
"http://localhost:8080#to_star","1","5265","VP","Success","-"
"http://localhost:8080#to_succeed","1","14063","VP","Success","-"
"http://localhost:8080#to_support","1","11350","VP","Success","-"
"http://localhost:8080#to_train","1","6047","VP","Success","-"
"http://localhost:8080#to_win","1","1549","VP","Success","-"
"http://localhost:8080#to_write","1","10560","VP","Success","-"
"http://localhost:8080#trained","2","26523","APP","Success","-"
"http://localhost:8080#wined","2","21031","APP","Success","-"
"http://localhost:8080#writeed","2","25842","APP","Success","-"
