"id","question","sparql","answer","frame"
"0","Qual era la data di creazione di Chiesa di S. Agostino?","SELECT ?object WHERE {    <http://dati.beniculturali.it/iccd/schede/resource/uod/S011661> <http://purl.org/dc/elements/1.1/date> ?object.}","1904","NPP"
"1","Qual è la data di creazione di Chiesa di S. Agostino?","SELECT ?object WHERE {    <http://dati.beniculturali.it/iccd/schede/resource/uod/S011661> <http://purl.org/dc/elements/1.1/date> ?object.}","1904","NPP"
"2","Qual era la data di creazione di Chiesa di San Giovanni Evangelista e ex canonica ora caserma dei Carabinieri?","SELECT ?object WHERE {    <http://dati.beniculturali.it/iccd/schede/resource/uod/S011671> <http://purl.org/dc/elements/1.1/date> ?object.}","1928","NPP"
"3","Qual è la data di creazione di Chiesa di San Giovanni Evangelista e ex canonica ora caserma dei Carabinieri?","SELECT ?object WHERE {    <http://dati.beniculturali.it/iccd/schede/resource/uod/S011671> <http://purl.org/dc/elements/1.1/date> ?object.}","1928","NPP"
"4","Qual era la data di creazione di Chiesa di S. Spirito degli Armeni?","SELECT ?object WHERE {    <http://dati.beniculturali.it/iccd/schede/resource/uod/S011678> <http://purl.org/dc/elements/1.1/date> ?object.}","1904","NPP"
"5","Qual è la data di creazione di Chiesa di S. Spirito degli Armeni?","SELECT ?object WHERE {    <http://dati.beniculturali.it/iccd/schede/resource/uod/S011678> <http://purl.org/dc/elements/1.1/date> ?object.}","1904","NPP"
"6","Qual era la data di creazione di Duomo?","SELECT ?object WHERE {    <http://dati.beniculturali.it/iccd/schede/resource/uod/S011682> <http://purl.org/dc/elements/1.1/date> ?object.}","1928","NPP"
"7","Qual è la data di creazione di Duomo?","SELECT ?object WHERE {    <http://dati.beniculturali.it/iccd/schede/resource/uod/S011682> <http://purl.org/dc/elements/1.1/date> ?object.}","1928","NPP"
"8","Qual era la data di creazione di Ruderi di edificio romano?","SELECT ?object WHERE {    <http://dati.beniculturali.it/iccd/schede/resource/uod/S011695> <http://purl.org/dc/elements/1.1/date> ?object.}","1904","NPP"
"9","Qual è la data di creazione di Ruderi di edificio romano?","SELECT ?object WHERE {    <http://dati.beniculturali.it/iccd/schede/resource/uod/S011695> <http://purl.org/dc/elements/1.1/date> ?object.}","1904","NPP"
"10","Qual era la data di creazione di Chiesa dell'Annunziata dei Frati Minori Osservanti?","SELECT ?object WHERE {    <http://dati.beniculturali.it/iccd/schede/resource/uod/S011703> <http://purl.org/dc/elements/1.1/date> ?object.}","s.d.","NPP"
"11","Qual è la data di creazione di Chiesa dell'Annunziata dei Frati Minori Osservanti?","SELECT ?object WHERE {    <http://dati.beniculturali.it/iccd/schede/resource/uod/S011703> <http://purl.org/dc/elements/1.1/date> ?object.}","s.d.","NPP"
"12","Qual era la data di creazione di Chiesa del Sacramento?","SELECT ?object WHERE {    <http://dati.beniculturali.it/iccd/schede/resource/uod/S011704> <http://purl.org/dc/elements/1.1/date> ?object.}","s.d.","NPP"
"13","Qual è la data di creazione di Chiesa del Sacramento?","SELECT ?object WHERE {    <http://dati.beniculturali.it/iccd/schede/resource/uod/S011704> <http://purl.org/dc/elements/1.1/date> ?object.}","s.d.","NPP"
"14","Qual era la data di creazione di Chiesa di San Francesco?","SELECT ?object WHERE {    <http://dati.beniculturali.it/iccd/schede/resource/uod/S011705> <http://purl.org/dc/elements/1.1/date> ?object.}","1892","NPP"
"15","Qual è la data di creazione di Chiesa di San Francesco?","SELECT ?object WHERE {    <http://dati.beniculturali.it/iccd/schede/resource/uod/S011705> <http://purl.org/dc/elements/1.1/date> ?object.}","1892","NPP"
"16","Qual era la data di creazione di Chiesa di San Giuseppe?","SELECT ?object WHERE {    <http://dati.beniculturali.it/iccd/schede/resource/uod/S011706> <http://purl.org/dc/elements/1.1/date> ?object.}","s.d.","NPP"
"17","Qual è la data di creazione di Chiesa di San Giuseppe?","SELECT ?object WHERE {    <http://dati.beniculturali.it/iccd/schede/resource/uod/S011706> <http://purl.org/dc/elements/1.1/date> ?object.}","s.d.","NPP"
