id,question,sparql,answer_rdf,answer,frame
0,Qual era il costo di Balto film?,select  ?o    {    <http://dbpedia.org/resource/Balto_(film)> <http://dbpedia.org/ontology/budget>  ?o    },31000000,no answer found,NPP
1,Qual è il costo di Balto film?,select  ?o    {    <http://dbpedia.org/resource/Balto_(film)> <http://dbpedia.org/ontology/budget>  ?o    },31000000,no answer found,NPP
2,Qual era il costo di Bamako film?,select  ?o    {    <http://dbpedia.org/resource/Bamako_(film)> <http://dbpedia.org/ontology/budget>  ?o    },2000000,no answer found,NPP
3,Qual è il costo di Bamako film?,select  ?o    {    <http://dbpedia.org/resource/Bamako_(film)> <http://dbpedia.org/ontology/budget>  ?o    },2000000,no answer found,NPP
4,Qual era il costo di Bambi?,select  ?o    {    <http://dbpedia.org/resource/Bambi> <http://dbpedia.org/ontology/budget>  ?o    },858000,no answer found,NPP
5,Qual è il costo di Bambi?,select  ?o    {    <http://dbpedia.org/resource/Bambi> <http://dbpedia.org/ontology/budget>  ?o    },858000,no answer found,NPP
6,Qual era il costo di Bamboozled?,select  ?o    {    <http://dbpedia.org/resource/Bamboozled> <http://dbpedia.org/ontology/budget>  ?o    },10000000,no answer found,NPP
7,Qual è il costo di Bamboozled?,select  ?o    {    <http://dbpedia.org/resource/Bamboozled> <http://dbpedia.org/ontology/budget>  ?o    },10000000,no answer found,NPP
8,Qual era il costo di Il dittatore dello stato libero di Bananas?,select  ?o    {    <http://dbpedia.org/resource/Bananas_(film)> <http://dbpedia.org/ontology/budget>  ?o    },2000000,no answer found,NPP
9,Qual è il costo di Il dittatore dello stato libero di Bananas?,select  ?o    {    <http://dbpedia.org/resource/Bananas_(film)> <http://dbpedia.org/ontology/budget>  ?o    },2000000,no answer found,NPP
10,Qual era il costo di I 5 della squadra d'assalto?,select  ?o    {    <http://dbpedia.org/resource/Band_of_the_Hand> <http://dbpedia.org/ontology/budget>  ?o    },8700000,no answer found,NPP
11,Qual è il costo di I 5 della squadra d'assalto?,select  ?o    {    <http://dbpedia.org/resource/Band_of_the_Hand> <http://dbpedia.org/ontology/budget>  ?o    },8700000,no answer found,NPP
12,Qual era il costo di Bande à part film?,select  ?o    {    <http://dbpedia.org/resource/Bande_à_part_(film)> <http://dbpedia.org/ontology/budget>  ?o    },120000,no answer found,NPP
13,Qual è il costo di Bande à part film?,select  ?o    {    <http://dbpedia.org/resource/Bande_à_part_(film)> <http://dbpedia.org/ontology/budget>  ?o    },120000,no answer found,NPP
14,Qual era il costo di Bandidas?,select  ?o    {    <http://dbpedia.org/resource/Bandidas> <http://dbpedia.org/ontology/budget>  ?o    },35000000,no answer found,NPP
15,Qual è il costo di Bandidas?,select  ?o    {    <http://dbpedia.org/resource/Bandidas> <http://dbpedia.org/ontology/budget>  ?o    },35000000,no answer found,NPP
16,Qual era il costo di Bandit Queen?,select  ?o    {    <http://dbpedia.org/resource/Bandit_Queen> <http://dbpedia.org/ontology/budget>  ?o    },32500000,no answer found,NPP
17,Qual è il costo di Bandit Queen?,select  ?o    {    <http://dbpedia.org/resource/Bandit_Queen> <http://dbpedia.org/ontology/budget>  ?o    },32500000,no answer found,NPP
18,Qual era il costo di Bandits?,select  ?o    {    <http://dbpedia.org/resource/Bandits_(2001_film)> <http://dbpedia.org/ontology/budget>  ?o    },75000000,no answer found,NPP
19,Qual è il costo di Bandits?,select  ?o    {    <http://dbpedia.org/resource/Bandits_(2001_film)> <http://dbpedia.org/ontology/budget>  ?o    },75000000,no answer found,NPP
20,Qual era il costo di Bandolero!?,select  ?o    {    <http://dbpedia.org/resource/Bandolero!> <http://dbpedia.org/ontology/budget>  ?o    },4450000,no answer found,NPP
21,Qual è il costo di Bandolero!?,select  ?o    {    <http://dbpedia.org/resource/Bandolero!> <http://dbpedia.org/ontology/budget>  ?o    },4450000,no answer found,NPP
22,Qual era il costo di Bandslam - High School Band?,select  ?o    {    <http://dbpedia.org/resource/Bandslam> <http://dbpedia.org/ontology/budget>  ?o    },20000000,no answer found,NPP
23,Qual è il costo di Bandslam - High School Band?,select  ?o    {    <http://dbpedia.org/resource/Bandslam> <http://dbpedia.org/ontology/budget>  ?o    },20000000,no answer found,NPP
24,Qual era il costo di Batte il tamburo lentamente?,select  ?o    {    <http://dbpedia.org/resource/Bang_the_Drum_Slowly_(film)> <http://dbpedia.org/ontology/budget>  ?o    },1000000,no answer found,NPP
25,Qual è il costo di Batte il tamburo lentamente?,select  ?o    {    <http://dbpedia.org/resource/Bang_the_Drum_Slowly_(film)> <http://dbpedia.org/ontology/budget>  ?o    },1000000,no answer found,NPP
26,Qual era il costo di Batismo de sangue?,select  ?o    {    <http://dbpedia.org/resource/Baptism_of_Blood> <http://dbpedia.org/ontology/budget>  ?o    },5000000,no answer found,NPP
27,Qual è il costo di Batismo de sangue?,select  ?o    {    <http://dbpedia.org/resource/Baptism_of_Blood> <http://dbpedia.org/ontology/budget>  ?o    },5000000,no answer found,NPP
28,Qual era il costo di Barb Wire film?,select  ?o    {    <http://dbpedia.org/resource/Barb_Wire_(1996_film)> <http://dbpedia.org/ontology/budget>  ?o    },9000000,no answer found,NPP
29,Qual è il costo di Barb Wire film?,select  ?o    {    <http://dbpedia.org/resource/Barb_Wire_(1996_film)> <http://dbpedia.org/ontology/budget>  ?o    },9000000,no answer found,NPP
30,Qual era il costo di Barbarella film?,select  ?o    {    <http://dbpedia.org/resource/Barbarella_(film)> <http://dbpedia.org/ontology/budget>  ?o    },4,no answer found,NPP
31,Qual è il costo di Barbarella film?,select  ?o    {    <http://dbpedia.org/resource/Barbarella_(film)> <http://dbpedia.org/ontology/budget>  ?o    },4,no answer found,NPP
32,Qual era il costo di Barbarossa film 2009?,select  ?o    {    <http://dbpedia.org/resource/Barbarossa_(film)> <http://dbpedia.org/ontology/budget>  ?o    },9000000,no answer found,NPP
33,Qual è il costo di Barbarossa film 2009?,select  ?o    {    <http://dbpedia.org/resource/Barbarossa_(film)> <http://dbpedia.org/ontology/budget>  ?o    },9000000,no answer found,NPP
34,Qual era il costo di La costa dei barbari film 1935?,select  ?o    {    <http://dbpedia.org/resource/Barbary_Coast_(film)> <http://dbpedia.org/ontology/budget>  ?o    },1000000,no answer found,NPP
35,Qual è il costo di La costa dei barbari film 1935?,select  ?o    {    <http://dbpedia.org/resource/Barbary_Coast_(film)> <http://dbpedia.org/ontology/budget>  ?o    },1000000,no answer found,NPP
36,Qual era il costo di Barbed Wire film 1952?,select  ?o    {    <http://dbpedia.org/resource/Barbed_Wire_(1952_film)> <http://dbpedia.org/ontology/budget>  ?o    },58874.36,no answer found,NPP
37,Qual è il costo di Barbed Wire film 1952?,select  ?o    {    <http://dbpedia.org/resource/Barbed_Wire_(1952_film)> <http://dbpedia.org/ontology/budget>  ?o    },58874.36,no answer found,NPP
38,Qual era il costo di La bottega del barbiere?,select  ?o    {    <http://dbpedia.org/resource/Barbershop_(film)> <http://dbpedia.org/ontology/budget>  ?o    },12000000,no answer found,NPP
39,Qual è il costo di La bottega del barbiere?,select  ?o    {    <http://dbpedia.org/resource/Barbershop_(film)> <http://dbpedia.org/ontology/budget>  ?o    },12000000,no answer found,NPP
40,Qual era il costo di La bottega del barbiere 2?,select  ?o    {    <http://dbpedia.org/resource/Barbershop_2:_Back_in_Business> <http://dbpedia.org/ontology/budget>  ?o    },18,no answer found,NPP
41,Qual è il costo di La bottega del barbiere 2?,select  ?o    {    <http://dbpedia.org/resource/Barbershop_2:_Back_in_Business> <http://dbpedia.org/ontology/budget>  ?o    },18,no answer found,NPP
42,Qual era il costo di Barbie - Il segreto delle fate?,select  ?o    {    <http://dbpedia.org/resource/Barbie:_A_Fairy_Secret> <http://dbpedia.org/ontology/budget>  ?o    },17500000,no answer found,NPP
43,Qual è il costo di Barbie - Il segreto delle fate?,select  ?o    {    <http://dbpedia.org/resource/Barbie:_A_Fairy_Secret> <http://dbpedia.org/ontology/budget>  ?o    },17500000,no answer found,NPP
44,Qual era il costo di Barcelona film?,select  ?o    {    <http://dbpedia.org/resource/Barcelona_(film)> <http://dbpedia.org/ontology/budget>  ?o    },3200000,no answer found,NPP
45,Qual è il costo di Barcelona film?,select  ?o    {    <http://dbpedia.org/resource/Barcelona_(film)> <http://dbpedia.org/ontology/budget>  ?o    },3200000,no answer found,NPP
46,Qual era il costo di A piedi nudi nel parco film?,select  ?o    {    <http://dbpedia.org/resource/Barefoot_in_the_Park_(film)> <http://dbpedia.org/ontology/budget>  ?o    },2000000,no answer found,NPP
47,Qual è il costo di A piedi nudi nel parco film?,select  ?o    {    <http://dbpedia.org/resource/Barefoot_in_the_Park_(film)> <http://dbpedia.org/ontology/budget>  ?o    },2000000,no answer found,NPP
48,Qual era il costo di Barely Legal film 2011?,select  ?o    {    <http://dbpedia.org/resource/Barely_Legal_(film)> <http://dbpedia.org/ontology/budget>  ?o    },3000000,no answer found,NPP
49,Qual è il costo di Barely Legal film 2011?,select  ?o    {    <http://dbpedia.org/resource/Barely_Legal_(film)> <http://dbpedia.org/ontology/budget>  ?o    },3000000,no answer found,NPP
50,Qual era il costo di Barfly - Moscone da bar?,select  ?o    {    <http://dbpedia.org/resource/Barfly_(film)> <http://dbpedia.org/ontology/budget>  ?o    },3000000,no answer found,NPP
