"http://dbpedia.org/resource/The_Pillars_of_the_Earth","I pilastri della Terra","WrittenWork"
"http://dbpedia.org/resource/The_Pillars_of_the_Earth","I pilastri della Terra","Book"
"http://dbpedia.org/resource/The_Pillars_of_the_Earth","I pilastri della Terra","Work"
"http://dbpedia.org/resource/Hearth_Fires","La divorziata (film 1972)","Film"
"http://dbpedia.org/resource/American_Idol","American Idol","Work"
"http://dbpedia.org/resource/American_Idol","American Idol","TelevisionShow"
"http://dbpedia.org/resource/Wealth","Ricchezza","Thing"
"http://dbpedia.org/resource/Elisabeth_of_Saxony","Elisabetta di Sassonia","Person"
"http://dbpedia.org/resource/Empire_of_Japan","Impero giapponese","Country"
"http://dbpedia.org/resource/Empire_of_Japan","Impero giapponese","Place"
"http://dbpedia.org/resource/Empire_of_Japan","Impero giapponese","Location"
"http://dbpedia.org/resource/Empire_of_Japan","Impero giapponese","PopulatedPlace"
"http://dbpedia.org/resource/Seagate_Technology","Seagate Technology","Company"
"http://dbpedia.org/resource/Charlee_Fraser","Charlee Fraser","Model"
