"lexicalEntry","numberOfGrammarRules","numberOfQuestions","frameType","numberOfQuestions","numberOfQuestions"
"http://localhost:8080#areaCode_of","2","141521","NPP","Success","-"
"http://localhost:8080#author_of_f","2","137517","NPP","Success","-"
"http://localhost:8080#author_of_m","2","114358","NPP","Success","-"
"http://localhost:8080#cost_of","2","78387","NPP","Success","-"
"http://localhost:8080#currency_of","2","98297","NPP","Success","-"
"http://localhost:8080#editor_of","2","94448","NPP","Success","-"
"http://localhost:8080#formOfGovernment-of","2","141217","NPP","Success","-"
"http://localhost:8080#foundationPlace_of","2","97693","NPP","Success","-"
"http://localhost:8080#founder_of_f","2","121154","NPP","Success","-"
"http://localhost:8080#founder_of_m","2","223608","NPP","Success","-"
"http://localhost:8080#foundingYear_of","2","140915","NPP","Success","-"
"http://localhost:8080#headquarter_of","2","117756","NPP","Success","-"
"http://localhost:8080#largestCity_of","2","97995","NPP","Success","-"
"http://localhost:8080#leader-of","2","141823","NPP","Success","-"
"http://localhost:8080#mayor_of","2","121456","NPP","Success","-"
"http://localhost:8080#musicComposer-of","2","220210","NPP","Success","-"
"http://localhost:8080#timeZone-of","2","141219","NPP","Failed","binding list is empty"
