"binding","label"
"http://dbpedia.org/resource/Ait_Ichou","Ait Ichou"
"http://dbpedia.org/resource/Ait_Ouribel","Ait Ouribel"
"http://dbpedia.org/resource/Ait_Sedrate_Jbel_El_Soufla","Ait Sedrate Jbel El Soufla"
"http://dbpedia.org/resource/Ait_Siberne","Ait Siberne"
"http://dbpedia.org/resource/Ait_Yadine","Ait Yadine"
"http://dbpedia.org/resource/Aitken_Nunatak","Aitken Nunatak"
"http://dbpedia.org/resource/Aizkraukle_District","Distretto di Aizkraukle"
"http://dbpedia.org/resource/Aizu","Aizu"
"http://dbpedia.org/resource/Ajaigarh_State","Ajaigarh (stato)"
"http://dbpedia.org/resource/Ajapnyak_District","Ajapnyak"
"http://dbpedia.org/resource/Ajmer-Merwara","Ajmer-Merwara"
"http://dbpedia.org/resource/Ak-Talaa_District","Distretto di Ak-Talaa"
"http://dbpedia.org/resource/Akaltyn_District","Distretto di Oqoltin"
"http://dbpedia.org/resource/Akersloot","Akersloot"
"http://dbpedia.org/resource/Akkalkot_State","Akkalkot"
"http://dbpedia.org/resource/Akkalkot_State","Akalkot"
"http://dbpedia.org/resource/Akkurgan_District","Distretto di Oqqurgan"
"http://dbpedia.org/resource/Aksy_District","Distretto di Aksy"
"http://dbpedia.org/resource/Aktogay_District,_Karaganda_Region","Distretto di Aqtoǧaj (Karaganda)"
"http://dbpedia.org/resource/Akuku-Toru","Akuku Toru"
"http://dbpedia.org/resource/Al-Baqi'","Al-Baqi"
"http://dbpedia.org/resource/Al-Dhubi","Sceiccato di Dhubi"
"http://dbpedia.org/resource/Al_Bayda_Governorate","Governatorato di al-Bayda'"
"http://dbpedia.org/resource/Al_Mahwit_Governorate","Governatorato di al-Mahwit"
"http://dbpedia.org/resource/Al_Wahat_District","Distretto di al-Wahat"
"http://dbpedia.org/resource/Ala-Buka_District","Distretto di Ala-Buka"
"http://dbpedia.org/resource/Alaiye","Alaiye"
"http://dbpedia.org/resource/Alakol_District","Distretto di Alaköl"
"http://dbpedia.org/resource/Alamance_County,_North_Carolina","Contea di Alamance"
"http://dbpedia.org/resource/Alamannia","Alemannia"
"http://dbpedia.org/resource/Atlow","Atlow"
"http://dbpedia.org/resource/Beshariq_District","Distretto di Beshariq"
"http://dbpedia.org/resource/Bilge_pump","Pompa di sentina"
"http://dbpedia.org/resource/Bowen_Cirque","Bowen Cirque"
"http://dbpedia.org/resource/Boylestone","Boylestone"
"http://dbpedia.org/resource/Cansiglio","Cansiglio"
"http://dbpedia.org/resource/Carazo_Department","Dipartimento di Carazo"
"http://dbpedia.org/resource/Carazo_Department","Carazo"
"http://dbpedia.org/resource/Charkhari_State","Charkhari (stato)"
"http://dbpedia.org/resource/Cotton_Plateau","Altopiano di Cotton"
"http://dbpedia.org/resource/DeBreuck_Glacier","Ghiacciaio DeBreuck"
"http://dbpedia.org/resource/DeGanahl_Glacier","Ghiacciaio DeGanahl"
"http://dbpedia.org/resource/Decasyllable","Décasyllabe"
"http://dbpedia.org/resource/Decasyllable","Decasillabo"
"http://dbpedia.org/resource/Dulafid_dynasty","Dulafidi"
"http://dbpedia.org/resource/Emirate_of_Trarza","Emirato di Trarza"
"http://dbpedia.org/resource/Evington","Evington"
"http://dbpedia.org/resource/Fleming_Glacier","Ghiacciaio Fleming"
"http://dbpedia.org/resource/German_West_Africa","Africa Occidentale Tedesca"
"http://dbpedia.org/resource/Gough_Glacier","Ghiacciaio Gough"
"http://dbpedia.org/resource/Gulf_of_Khambhat","Golfo di Khambhat"
"http://dbpedia.org/resource/Haushabi","Sultanato di Haushabi"
"http://dbpedia.org/resource/Heenvliet","Heenvliet"
"http://dbpedia.org/resource/History_of_Sierra_Leone","Storia della Sierra Leone"
"http://dbpedia.org/resource/Hnojník","Hnojník"
"http://dbpedia.org/resource/Hnúšťa","Hnúšťa"
"http://dbpedia.org/resource/Hogstorp","Hogstorp"
"http://dbpedia.org/resource/Holstenniendorf","Holstenniendorf"
"http://dbpedia.org/resource/Holts_Summit,_Missouri","Holts Summit"
"http://dbpedia.org/resource/Holtzheim","Holtzheim"
"http://dbpedia.org/resource/Hornillos_del_Camino","Hornillos del Camino"
"http://dbpedia.org/resource/Hostín_u_Vojkovic","Hostín u Vojkovic"
"http://dbpedia.org/resource/Huachón_District","Distretto di Huachón"
"http://dbpedia.org/resource/Huaquirca_District","Distretto di Huaquirca"
"http://dbpedia.org/resource/Huilliécourt","Huilliécourt"
"http://dbpedia.org/resource/Humnabad","Homnabad"
"http://dbpedia.org/resource/Huntingdon_and_Peterborough","Huntingdon and Peterborough"
"http://dbpedia.org/resource/Hustonville,_Kentucky","Hustonville"
"http://dbpedia.org/resource/Hutubi_County","Contea di Hutubi"
"http://dbpedia.org/resource/Hwasun_County","Contea di Hwasun"
"http://dbpedia.org/resource/Hybo","Hybo"
"http://dbpedia.org/resource/Hà_Tĩnh","Hà Tĩnh"
"http://dbpedia.org/resource/Hénanbihen","Hénanbihen"
"http://dbpedia.org/resource/Hérange","Hérange"
"http://dbpedia.org/resource/Hîrtopul_Mare","Hîrtopul Mare"
"http://dbpedia.org/resource/Hôpital-Camfrout","Hôpital-Camfrout"
"http://dbpedia.org/resource/Hübschhorn","Hübschhorn"
"http://dbpedia.org/resource/Iffeldorf","Iffeldorf"
"http://dbpedia.org/resource/Iklehra","Iklehra"
"http://dbpedia.org/resource/Illasi","Illasi"
"http://dbpedia.org/resource/Illfurth","Illfurth"
"http://dbpedia.org/resource/Illzach","Illzach"
"http://dbpedia.org/resource/Impfondo","Impfondo"
"http://dbpedia.org/resource/Incudine","Incudine (Italia)"
"http://dbpedia.org/resource/Inxent","Inxent"
"http://dbpedia.org/resource/Iota_Aquarii","Iota Aquarii"
"http://dbpedia.org/resource/Ischua,_New_York","Ischua"
"http://dbpedia.org/resource/Isfendiyarids","Isfendiyaridi"
"http://dbpedia.org/resource/Isle_of_Hope,_Georgia","Isle of Hope"
"http://dbpedia.org/resource/Issoudun","Issoudun"
"http://dbpedia.org/resource/Issy-l'Évêque","Issy-l'Évêque"
"http://dbpedia.org/resource/Isérables","Isérables"
"http://dbpedia.org/resource/Itaguaru","Itaguaru"
"http://dbpedia.org/resource/Izcuchaca_District","Distretto di Izcuchaca"
"http://dbpedia.org/resource/J002E3","J002E3"
"http://dbpedia.org/resource/Jabbeke","Jabbeke"
"http://dbpedia.org/resource/Jadro","Jadro"
"http://dbpedia.org/resource/Jagsthausen","Jagsthausen"
"http://dbpedia.org/resource/Jaguapitã","Jaguapitã"
"http://dbpedia.org/resource/Jajpur","Jajpur"
"http://dbpedia.org/resource/Jamame","Giamama"
"http://dbpedia.org/resource/Janjanbureh,_Gambia","Janjanbureh"
"http://dbpedia.org/resource/Jardinópolis,_Santa_Catarina","Jardinópolis (Santa Catarina)"
"http://dbpedia.org/resource/Jawad,_India","Jawad"
"http://dbpedia.org/resource/Jbaa","Jbaah - Ain Bouswar"
"http://dbpedia.org/resource/Jolfa,_Iran_(city)","Jolfa"
"http://dbpedia.org/resource/Jonava","Jonava"
"http://dbpedia.org/resource/Joppa,_Alabama","Joppa (Alabama)"
"http://dbpedia.org/resource/Jourgnac","Jourgnac"
"http://dbpedia.org/resource/Jukkasjärvi","Jukkasjärvi"
"http://dbpedia.org/resource/Jurvielle","Jurvielle"
"http://dbpedia.org/resource/Járdánháza","Járdánháza"
"http://dbpedia.org/resource/Kaarma_Parish","Kaarma"
"http://dbpedia.org/resource/Kadnikov","Kadnikov"
"http://dbpedia.org/resource/Kaffrine","Kaffrine"
"http://dbpedia.org/resource/Kaisheim_Abbey","Abbazia di Kaisheim"
"http://dbpedia.org/resource/Kaladhungi","Kaladhungi"
"http://dbpedia.org/resource/Kaltungo","Kaltungo"
"http://dbpedia.org/resource/Kama_Reservoir","Bacino della Kama"
"http://dbpedia.org/resource/Kampong_Luong","Kompong Luong"
"http://dbpedia.org/resource/Kanachut","Kanačut"
"http://dbpedia.org/resource/Kandhamal_district","Distretto di Kandhamal"
"http://dbpedia.org/resource/Kankama","Kankama"
"http://dbpedia.org/resource/Kanti","Kanti (città)"
"http://dbpedia.org/resource/Kapsabet","Kapsabet"
"http://dbpedia.org/resource/Karaye","Karaye"
"http://dbpedia.org/resource/Karpathos","Pigadia"
"http://dbpedia.org/resource/Karpathos","Scarpanto"
"http://dbpedia.org/resource/Kastellorizo","Castelrosso (Grecia)"
"http://dbpedia.org/resource/Katiadi_Upazila","Katiadi"
"http://dbpedia.org/resource/Kavadarci_Municipality","Kavadarci"
"http://dbpedia.org/resource/Keflavík","Keflavík"
"http://dbpedia.org/resource/Kentisbeare","Kentisbeare"
"http://dbpedia.org/resource/Kepler-22","Kepler-22"
"http://dbpedia.org/resource/Khallikote","Khalikote"
"http://dbpedia.org/resource/Khao_Chaison_District","Distretto di Khao Chaison"
"http://dbpedia.org/resource/Khirokitia","Choirokoitia"
"http://dbpedia.org/resource/Khodarampur","Khodarampur"
"http://dbpedia.org/resource/Khoua_District","Distretto di Khoua"
"http://dbpedia.org/resource/Kieselbronn","Kieselbronn"
"http://dbpedia.org/resource/Kiev_Voivodeship","Voivodato di Kiev"
"http://dbpedia.org/resource/Kimolos","Argentiera (isola)"
"http://dbpedia.org/resource/Kinabalu_Park","Parco nazionale del Kinabalu"
"http://dbpedia.org/resource/Kingdom_of_Tashir-Dzoraget","Regno di Lori"
"http://dbpedia.org/resource/Kirkjubæjarklaustur","Kirkjubæjarklaustur"
"http://dbpedia.org/resource/Kirovsky_District,_Stavropol_Krai","Kirovskij rajon (Kraj di Stavropol')"
"http://dbpedia.org/resource/Királyszentistván","Királyszentistván"
"http://dbpedia.org/resource/Klein-Winternheim","Klein-Winternheim"
"http://dbpedia.org/resource/Kleymenov_(crater)","Cratere Kleymenov"
"http://dbpedia.org/resource/Kohls_Ranch,_Arizona","Kohls Ranch"
"http://dbpedia.org/resource/Kokkothamangalam","Kokkothamangalam"
"http://dbpedia.org/resource/Kolhörster_(crater)","Cratere Kolhörster"
