QALD id,match status,QALD question,QueGG question,QALD SPARQL query,QueGG SPARQL query,TP,FP,FN,Precision,Recall,F-Measure
0,0,¿Cuándo tuvo lugar la batalla de Gettysburg?,,PREFIX dbp: <http://dbpedia.org/property/> PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?date  WHERE {res:Battle_of_Gettysburg dbp:date ?date .},,0,0,2,0,0,0
1,0,Dame todos los musicales con música de Elton John.,,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 
SELECT DISTINCT ?uri
WHERE { 
        ?uri rdf:type dbo:Musical .
        ?uri dbo:musicBy res:Elton_John .
}",,0,0,4,0,0,0
2,0,¿Cómo de alta el faro de Colombo?,,SELECT DISTINCT ?num WHERE {  <http://dbpedia.org/resource/Colombo_Lighthouse> <http://dbpedia.org/ontology/height> ?num . } ,,0,0,1,0,0,0
3,0,¿Quién fué la mujer del presidente americano Lincoln?,,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
	res:Abraham_Lincoln dbo:spouse ?uri.
}",,0,0,1,0,0,0
4,0,¿Quién es el anfitrión de los especiales de la BBC Wildlife?,,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/BBC_Wildlife_Specials> <http://dbpedia.org/ontology/presenter> ?uri . },,0,0,1,0,0,0
5,0,¿Cuanto costo Pulp Fiction?,,SELECT DISTINCT ?n WHERE {  <http://dbpedia.org/resource/Pulp_Fiction> <http://dbpedia.org/ontology/budget> ?n . } ,,0,0,1,0,0,0
6,0,¿En qué ciudad esta la fábrica de cerveza Heineken?,,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Heineken> <http://dbpedia.org/ontology/manufacturer> ?x . ?x <http://dbpedia.org/ontology/locationCity> ?uri . },,0,0,0,0,0,0
7,0,¿Cuándo comenzó la operación Overlord?,,SELECT DISTINCT ?d WHERE { <http://dbpedia.org/resource/Operation_Overlord> <http://dbpedia.org/ontology/date> ?d . } ,,0,0,1,0,0,0
8,0,¿En que ciudad termina la ruta Chilena 68?,,SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/Chile_Route_68> <http://dbpedia.org/ontology/routeEnd> ?uri . } ,,0,0,1,0,0,0
9,0.814814814814815,¿Quien desarrolló Slack?,"""¿Quién es desarrollo de Slack?""",SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/product> <http://dbpedia.org/resource/Slack_(software)> . },"""select  ?o    
{
    <http://dbpedia.org/resource/Slack_(software)> <http://dbpedia.org/ontology/developer>  ?o .    
}""",1,0,0,1,1,1
10,0,¿Quién estuvo casado con el presidente Chirac?,,"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
SELECT DISTINCT ?uri
WHERE { 
         res:Jacques_Chirac dbo:spouse ?uri .
}",,0,0,1,0,0,0
11,0,¿De qué murió Bruce Carver?,,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/>
SELECT DISTINCT ?uri
WHERE {
        res:Abraham_Lincoln dbo:deathCause ?uri .     
}",,0,0,1,0,0,0
