"lexicalEntry","numberOfGrammarRules","numberOfQuestions","frameType","numberOfQuestions","numberOfQuestions"
"http://localhost:8080#areaCode_of","2","116216","NPP","Success","-"
"http://localhost:8080#author_of_f","2","85671","NPP","Success","-"
"http://localhost:8080#author_of_m","2","53665","NPP","Success","-"
"http://localhost:8080#currency_of","2","37604","NPP","Success","-"
"http://localhost:8080#editor_of","2","16061","NPP","Success","-"
"http://localhost:8080#formOfGovernment-of","2","98218","NPP","Success","-"
"http://localhost:8080#foundationPlace_of","2","19306","NPP","Success","-"
"http://localhost:8080#founder_of_f","2","60461","NPP","Success","-"
"http://localhost:8080#founder_of_m","2","207150","NPP","Success","-"
"http://localhost:8080#foundingYear_of","2","89069","NPP","Success","-"
"http://localhost:8080#headquarter_of","2","57063","NPP","Success","-"
"http://localhost:8080#largestCity_of","2","28455","NPP","Success","-"
"http://localhost:8080#leader-of","2","125365","NPP","Success","-"
"http://localhost:8080#mayor_of","2","69610","NPP","Success","-"
"http://localhost:8080#musicComposer-of","2","203752","NPP","Success","-"
"http://localhost:8080#timeZone-of","2","107067","NPP","Success","-"
