id,question,sparql,answer,answer,frame
0,Qual era l'editor di Gino Bartali - L'intramontabile?,select  ?o    {    <http://dbpedia.org/resource/Bartali:_The_Iron_Man> <http://dbpedia.org/ontology/editor>  ?o    },http://dbpedia.org/resource/Antonio_Siciliano,Antonio Siciliano,NPP
1,Qual è l'editor di Gino Bartali - L'intramontabile?,select  ?o    {    <http://dbpedia.org/resource/Bartali:_The_Iron_Man> <http://dbpedia.org/ontology/editor>  ?o    },http://dbpedia.org/resource/Antonio_Siciliano,Antonio Siciliano,NPP
2,Qual era l'editor di Il motel della paura?,select  ?o    {    <http://dbpedia.org/resource/Bates_Motel_(film)> <http://dbpedia.org/ontology/editor>  ?o    },http://dbpedia.org/resource/Dann_Cahn,,NPP
3,Qual è l'editor di Il motel della paura?,select  ?o    {    <http://dbpedia.org/resource/Bates_Motel_(film)> <http://dbpedia.org/ontology/editor>  ?o    },http://dbpedia.org/resource/Dann_Cahn,,NPP
4,Qual era l'editor di Un principe in giacca e cravatta?,select  ?o    {    <http://dbpedia.org/resource/Beauty_&_the_Briefcase> <http://dbpedia.org/ontology/editor>  ?o    },http://dbpedia.org/resource/Don_Brochu,,NPP
5,Qual è l'editor di Un principe in giacca e cravatta?,select  ?o    {    <http://dbpedia.org/resource/Beauty_&_the_Briefcase> <http://dbpedia.org/ontology/editor>  ?o    },http://dbpedia.org/resource/Don_Brochu,,NPP
6,Qual era l'editor di Dietro i candelabri?,select  ?o    {    <http://dbpedia.org/resource/Behind_the_Candelabra> <http://dbpedia.org/ontology/editor>  ?o    },http://dbpedia.org/resource/Steven_Soderbergh,Steven Soderbergh,NPP
7,Qual è l'editor di Dietro i candelabri?,select  ?o    {    <http://dbpedia.org/resource/Behind_the_Candelabra> <http://dbpedia.org/ontology/editor>  ?o    },http://dbpedia.org/resource/Steven_Soderbergh,Steven Soderbergh,NPP
8,Qual era l'editor di All'inseguimento della morte rossa?,select  ?o    {    <http://dbpedia.org/resource/Bullet_to_Beijing> <http://dbpedia.org/ontology/editor>  ?o    },http://dbpedia.org/resource/François_Gill,,NPP
9,Qual è l'editor di All'inseguimento della morte rossa?,select  ?o    {    <http://dbpedia.org/resource/Bullet_to_Beijing> <http://dbpedia.org/ontology/editor>  ?o    },http://dbpedia.org/resource/François_Gill,,NPP
10,Qual era l'editor di Bunte?,select  ?o    {    <http://dbpedia.org/resource/Bunte> <http://dbpedia.org/ontology/editor>  ?o    },http://dbpedia.org/resource/Robert_Pölzer,,NPP
11,Qual è l'editor di Bunte?,select  ?o    {    <http://dbpedia.org/resource/Bunte> <http://dbpedia.org/ontology/editor>  ?o    },http://dbpedia.org/resource/Robert_Pölzer,,NPP
12,Qual era l'editor di Cahiers d'Art?,select  ?o    {    <http://dbpedia.org/resource/Cahiers_d'art> <http://dbpedia.org/ontology/editor>  ?o    },http://dbpedia.org/resource/Staffan_Ahrenberg,,NPP
13,Qual è l'editor di Cahiers d'Art?,select  ?o    {    <http://dbpedia.org/resource/Cahiers_d'art> <http://dbpedia.org/ontology/editor>  ?o    },http://dbpedia.org/resource/Staffan_Ahrenberg,,NPP
14,Qual era l'editor di Camelot serie televisiva?,select  ?o    {    <http://dbpedia.org/resource/Camelot_(TV_series)> <http://dbpedia.org/ontology/editor>  ?o    },http://dbpedia.org/resource/Sidney_Wolinsky,,NPP
15,Qual è l'editor di Camelot serie televisiva?,select  ?o    {    <http://dbpedia.org/resource/Camelot_(TV_series)> <http://dbpedia.org/ontology/editor>  ?o    },http://dbpedia.org/resource/Sidney_Wolinsky,,NPP
16,Qual era l'editor di Architectural Digest?,select  ?o    {    <http://dbpedia.org/resource/Architectural_Digest> <http://dbpedia.org/ontology/editor>  ?o    },http://dbpedia.org/resource/Amy_Astley,,NPP
17,Qual è l'editor di Architectural Digest?,select  ?o    {    <http://dbpedia.org/resource/Architectural_Digest> <http://dbpedia.org/ontology/editor>  ?o    },http://dbpedia.org/resource/Amy_Astley,,NPP
18,Qual era l'editor di Cristoforo Colombo miniserie televisiva?,select  ?o    {    <http://dbpedia.org/resource/Christopher_Columbus_(miniseries)> <http://dbpedia.org/ontology/editor>  ?o    },http://dbpedia.org/resource/Russell_Lloyd_(film_editor),,NPP
