LemonEntry,partOfSpeech,writtenFormInfinitive/2ndPerson,writtenForm3rdPerson,writtenFormPast,preposition,SyntacticFrame,subject,prepositionalAdjunct,sense,reference,domain,range,GrammarRule 1 :question 1,GrammarRule 1 :question 2,GrammarRule 1 :sparql,Grammar rule 2: question1,Grammar rule 2: question2,sparql2
complete_in,verb,complete,completes,completed,in,InTransitiveFrame,domain,range,1,dbo:buildingEndDate,dbo:ArchitecturalStructure,xsd:date,-,FALSE,SELECT ?X WHERE { ?X dbo:buildingEndDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:buildingEndDate ?X.}
build_in,verb,build,builds,built,in,InTransitiveFrame,domain,range,1,dbo:buildingStartDate,dbo:ArchitecturalStructure,xsd:date,-,FALSE,SELECT ?X WHERE { ?X dbo:buildingStartDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:buildingStartDate ?X.}
inaugurate_in,verb,inaugurate,inaugurates,inaugurated,in,InTransitiveFrame,domain,range,1,dbo:openingDate,dbo:ArchitecturalStructure,xsd:date,-,FALSE,SELECT ?X WHERE { ?X dbo:openingDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:openingDate ?X.}
founded_on,verb,find,finds,founded,on,InTransitiveFrame,domain,range,1,dbo:foundingDate,dbo:Organisation,xsd:date,-,Which dbo:Organisation(X) was founded on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:foundingDate Y.},-,When xsd:date(X) was Y(dbo:Organisation) founded ?,SELECT ?X WHERE { Y dbo:foundingDate ?X.}
released_on,verb,release,releases,released,at,InTransitiveFrame,domain,range,1,dbo:releaseDate,dbo:TelevisionShow,xsd:date,-,Which dbo:TelevisionShow(X) was released at Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:releaseDate Y.},-,When xsd:date(X) was Y(dbo:TelevisionShow) released ?,SELECT ?X WHERE { Y dbo:releaseDate ?X.}
published_on,verb,publish,publishes,published,on,InTransitiveFrame,domain,range,1,dbp:published,dbo:Song,xsd:date,-,Which dbo:Song(X) was published on Y(xsd:date)?,SELECT ?X WHERE { ?X dbp:published Y.},-,When xsd:date(X) was Y(dbo:Song) published ?,SELECT ?X WHERE { Y dbp:published ?X.}
published_in,verb,publish,publishes,published,in,InTransitiveFrame,domain,range,1,dbp:published,dbo:Song,xsd:date,-,FALSE,SELECT ?X WHERE { ?X dbp:published Y.},-,FALSE,SELECT ?X WHERE { Y dbp:published ?X.}
dissolve_on,verb,dissolve,dissolves,dissolved,on,InTransitiveFrame,domain,range,1,dbo:dissolutionDate,dbo:PopulatedPlace,xsd:date,-,Which dbo:PopulatedPlace(X) was dissolved on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:dissolutionDate Y.},-,When xsd:date(X) was Y(dbo:PopulatedPlace) dissolved ?,SELECT ?X WHERE { Y dbo:dissolutionDate ?X.}
dissolve_in,verb,dissolve,dissolves,dissolved,in,InTransitiveFrame,domain,range,1,dbo:dissolutionDate,dbo:PopulatedPlace,xsd:date,-,FALSE,SELECT ?X WHERE { ?X dbo:dissolutionDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:dissolutionDate ?X.}
destroy_on,verb,destroy,destroys,destroys,on,InTransitiveFrame,domain,range,1,dbo:demolitionDate,dbo:ArchitecturalStructure,xsd:date,-,Which dbo:ArchitecturalStructure(X) was destroys on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:demolitionDate Y.},-,When xsd:date(X) was Y(dbo:ArchitecturalStructure) destroys ?,SELECT ?X WHERE { Y dbo:demolitionDate ?X.}
