LemonEntry,partOfSpeech,writtenFormInfinitive,writtenFormThridPerson,writtenFormPast,writtenFormPerfect,preposition,SyntacticFrame,subject,prepositionalAdjunct,sense,reference,domain,range,domainArticle,domainWrittenSingular,domainWrittenPlural,rangeArticle,rangeWrittenSingular,rangeWrittenPlural
Stattfinden_1,TrennVerb,stattfinden,findet statt,fand statt,stattgefunden,am,IntransitivePPFrame,domain,range,1,dbp:date,dbo:Event,xsd:date,feminine,Veranstaltung,Veranstaltungen,neuter,Date,Dates
Stattfinden_2,TrennVerb,stattfinden,findet statt,fand statt,stattgefunden,am,IntransitivePPFrame,domain,range,2,dbp:date,dbo:MilitaryConflict,xsd:date,masculine,Milit„rischer Konflikt,Milit„rische Konflikte,neuter,Date,Dates
Stattfinden_3,TrennVerb,stattfinden,findet statt,fand statt,stattgefunden,am,IntransitivePPFrame,domain,range,3,dbp:date,dbo:SocietalEvent,xsd:date,feminine,gesellschaftliche Veranstaltung,gesellschaftliche Veranstaltungen,neuter,Date,Dates
kosten_1,verb,kosten,kostet,kostete,gekostet,X,IntransitivePPFrame,domain,range,1,dbo:budget,dbo:Film,xsd:double,masculine,Film,Filme,feminine,Nummer,Nummer
kosten_1,verb,kosten,kostet,kostete,gekostet,X,IntransitivePPFrame,domain,range,1,dbo:budget,dbo:Work,dbo:Person,neuter,Werk,Werke,feminine,Nummer,Nummer
durchfhren_2,TrennVerb,durchfhren,fhrt durch,fhrte durch,durchgefhrt,am,IntransitivePPFrame,domain,range,1,dbo:date,dbo:MilitaryConflict,xsd:date,masculine,Milit„rKonflikt,Milit„rKonflikte,neuter,Date,Dates
durchfhren_1,TrennVerb,durchfhren,fhrt durch,fhrte durch,durchgefhrt,am,IntransitivePPFrame,domain,range,1,dbo:date,dbo:Event,xsd:date,feminine,Veranstaltung,Veranstaltungen,neuter,Date,Dates
aufh”ren_1,TrennVerb,aufh”ren,h”rt auf,h”rte auf,aufgeh”rt,in,IntransitivePPFrame,domain,range,1,dbo:routeEnd,dbo:Road,dbo:Location,feminine,Straáe,Straáen,feminine,Stadt,Stadte
aufh”ren_2,TrennVerb,aufh”ren,h”rt auf,h”rte auf,aufgeh”rt,in,IntransitivePPFrame,domain,range,1,dbo:routeEnd,dbo:ArchitecturalStructure,dbo:Location,masculine,Milit„rKonflikt,Milit„rKonflikte,feminine,Stadt,Stadte
aufh”ren_3,TrennVerb,aufh”ren,h”rt auf,h”rte auf,aufgeh”rt,in,IntransitivePPFrame,domain,range,1,dbo:routeEnd,dbo:Infrastructure,dbo:Location,feminine,ArchitektonischeStruktur,ArchitektonischeStrukturen,feminine,Stadt,Stadte
aufh”ren_4,TrennVerb,aufh”ren,h”rt auf,h”rte auf,aufgeh”rt,in,IntransitivePPFrame,domain,range,1,dbo:routeEnd,dbo:RouteOfTransportation,dbo:Location,masculine,Transportweg,Transportwegen,feminine,Stadt,Stadte
