"id","question","sparql","answer","frame"
"0","Qual era la creazione di Chiesa di S. Agostino?","SELECT ?object WHERE {    <http://dati.beniculturali.it/iccd/schede/resource/uod/S011661> <http://purl.org/dc/elements/1.1/date> ?object.}","1904","NPP"
"1","Qual è la creazione di Chiesa di S. Agostino?","SELECT ?object WHERE {    <http://dati.beniculturali.it/iccd/schede/resource/uod/S011661> <http://purl.org/dc/elements/1.1/date> ?object.}","1904","NPP"
"2","Qual era la creazione di Chiesa di San Giovanni Evangelista e ex canonica ora caserma dei Carabinieri?","SELECT ?object WHERE {    <http://dati.beniculturali.it/iccd/schede/resource/uod/S011671> <http://purl.org/dc/elements/1.1/date> ?object.}","1928","NPP"
"3","Qual è la creazione di Chiesa di San Giovanni Evangelista e ex canonica ora caserma dei Carabinieri?","SELECT ?object WHERE {    <http://dati.beniculturali.it/iccd/schede/resource/uod/S011671> <http://purl.org/dc/elements/1.1/date> ?object.}","1928","NPP"
"4","Qual era la creazione di Chiesa di S. Spirito degli Armeni?","SELECT ?object WHERE {    <http://dati.beniculturali.it/iccd/schede/resource/uod/S011678> <http://purl.org/dc/elements/1.1/date> ?object.}","1904","NPP"
"5","Qual è la creazione di Chiesa di S. Spirito degli Armeni?","SELECT ?object WHERE {    <http://dati.beniculturali.it/iccd/schede/resource/uod/S011678> <http://purl.org/dc/elements/1.1/date> ?object.}","1904","NPP"
"6","Qual era la creazione di Duomo?","SELECT ?object WHERE {    <http://dati.beniculturali.it/iccd/schede/resource/uod/S011682> <http://purl.org/dc/elements/1.1/date> ?object.}","1928","NPP"
"7","Qual è la creazione di Duomo?","SELECT ?object WHERE {    <http://dati.beniculturali.it/iccd/schede/resource/uod/S011682> <http://purl.org/dc/elements/1.1/date> ?object.}","1928","NPP"
"8","Qual era la creazione di Ruderi di edificio romano?","SELECT ?object WHERE {    <http://dati.beniculturali.it/iccd/schede/resource/uod/S011695> <http://purl.org/dc/elements/1.1/date> ?object.}","1904","NPP"
"9","Qual è la creazione di Ruderi di edificio romano?","SELECT ?object WHERE {    <http://dati.beniculturali.it/iccd/schede/resource/uod/S011695> <http://purl.org/dc/elements/1.1/date> ?object.}","1904","NPP"
"10","Qual era la creazione di Chiesa dell'Annunziata dei Frati Minori Osservanti?","SELECT ?object WHERE {    <http://dati.beniculturali.it/iccd/schede/resource/uod/S011703> <http://purl.org/dc/elements/1.1/date> ?object.}","s.d.","NPP"
"11","Qual è la creazione di Chiesa dell'Annunziata dei Frati Minori Osservanti?","SELECT ?object WHERE {    <http://dati.beniculturali.it/iccd/schede/resource/uod/S011703> <http://purl.org/dc/elements/1.1/date> ?object.}","s.d.","NPP"
"12","Qual era la creazione di Chiesa del Sacramento?","SELECT ?object WHERE {    <http://dati.beniculturali.it/iccd/schede/resource/uod/S011704> <http://purl.org/dc/elements/1.1/date> ?object.}","s.d.","NPP"
"13","Qual è la creazione di Chiesa del Sacramento?","SELECT ?object WHERE {    <http://dati.beniculturali.it/iccd/schede/resource/uod/S011704> <http://purl.org/dc/elements/1.1/date> ?object.}","s.d.","NPP"
"14","Qual era la creazione di Chiesa di San Francesco?","SELECT ?object WHERE {    <http://dati.beniculturali.it/iccd/schede/resource/uod/S011705> <http://purl.org/dc/elements/1.1/date> ?object.}","1892","NPP"
"15","Qual è la creazione di Chiesa di San Francesco?","SELECT ?object WHERE {    <http://dati.beniculturali.it/iccd/schede/resource/uod/S011705> <http://purl.org/dc/elements/1.1/date> ?object.}","1892","NPP"
"16","Qual era la creazione di Chiesa di San Giuseppe?","SELECT ?object WHERE {    <http://dati.beniculturali.it/iccd/schede/resource/uod/S011706> <http://purl.org/dc/elements/1.1/date> ?object.}","s.d.","NPP"
"17","Qual è la creazione di Chiesa di San Giuseppe?","SELECT ?object WHERE {    <http://dati.beniculturali.it/iccd/schede/resource/uod/S011706> <http://purl.org/dc/elements/1.1/date> ?object.}","s.d.","NPP"
"19","la creazione di Chiesa di S. Agostino","SELECT ?object WHERE {    <http://dati.beniculturali.it/iccd/schede/resource/uod/S011661> <http://purl.org/dc/elements/1.1/date> ?object.}","1904","NPP"
"20","la creazione di Chiesa di San Giovanni Evangelista e ex canonica ora caserma dei Carabinieri","SELECT ?object WHERE {    <http://dati.beniculturali.it/iccd/schede/resource/uod/S011671> <http://purl.org/dc/elements/1.1/date> ?object.}","1928","NPP"
"21","la creazione di Chiesa di S. Spirito degli Armeni","SELECT ?object WHERE {    <http://dati.beniculturali.it/iccd/schede/resource/uod/S011678> <http://purl.org/dc/elements/1.1/date> ?object.}","1904","NPP"
"22","la creazione di Duomo","SELECT ?object WHERE {    <http://dati.beniculturali.it/iccd/schede/resource/uod/S011682> <http://purl.org/dc/elements/1.1/date> ?object.}","1928","NPP"
"23","la creazione di Ruderi di edificio romano","SELECT ?object WHERE {    <http://dati.beniculturali.it/iccd/schede/resource/uod/S011695> <http://purl.org/dc/elements/1.1/date> ?object.}","1904","NPP"
"24","la creazione di Chiesa dell'Annunziata dei Frati Minori Osservanti","SELECT ?object WHERE {    <http://dati.beniculturali.it/iccd/schede/resource/uod/S011703> <http://purl.org/dc/elements/1.1/date> ?object.}","s.d.","NPP"
"25","la creazione di Chiesa del Sacramento","SELECT ?object WHERE {    <http://dati.beniculturali.it/iccd/schede/resource/uod/S011704> <http://purl.org/dc/elements/1.1/date> ?object.}","s.d.","NPP"
"26","la creazione di Chiesa di San Francesco","SELECT ?object WHERE {    <http://dati.beniculturali.it/iccd/schede/resource/uod/S011705> <http://purl.org/dc/elements/1.1/date> ?object.}","1892","NPP"
"27","la creazione di Chiesa di San Giuseppe","SELECT ?object WHERE {    <http://dati.beniculturali.it/iccd/schede/resource/uod/S011706> <http://purl.org/dc/elements/1.1/date> ?object.}","s.d.","NPP"
"29","Qual era la scheda di Metainfo Luogo 138764?","SELECT ?object WHERE {    <http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/138764.rdf> <http://purl.org/dc/elements/1.1/source> ?object.}","DBUnico2.0","NPP"
"30","Qual è la scheda di Metainfo Luogo 138764?","SELECT ?object WHERE {    <http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/138764.rdf> <http://purl.org/dc/elements/1.1/source> ?object.}","DBUnico2.0","NPP"
"31","Qual era la scheda di Metainfo Luogo 138761?","SELECT ?object WHERE {    <http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/138761.rdf> <http://purl.org/dc/elements/1.1/source> ?object.}","DBUnico2.0","NPP"
"32","Qual è la scheda di Metainfo Luogo 138761?","SELECT ?object WHERE {    <http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/138761.rdf> <http://purl.org/dc/elements/1.1/source> ?object.}","DBUnico2.0","NPP"
